train set,train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
gov,1,flores,36.574294986340774,-58.77447728508231,0.0,0.0,1.2565838165532572,1.2598201176268429
gov,1,bible,13.750083096942346,-23.767806835905116,0.0,0.0,0.2862701263111244,0.35321255111170047
gov,1,gov,32.18934509998643,-23.987032106539335,0.0,0.0,3.66995617650815,3.766914323175531
gov,10,flores,69.72766632302195,-106.40789255629181,0.0,0.0,0.9258694114204596,1.0509140970564799
gov,10,bible,23.037313466212698,-38.59682093726403,0.0,0.0,0.3662118825029486,0.38030063404464437
gov,10,gov,10.425103976145428,44.73189437052721,0.0,0.0,3.488058860108064,3.613380142037561
gov,25,flores,80.5136514158984,-121.74930750341615,0.0,0.0,0.8825254204268507,1.0066318596223471
gov,25,bible,25.882125813868043,-42.980532112974565,0.0,0.0,0.4702081747781206,0.5195169403821512
gov,25,gov,10.484658899200097,51.64426971955983,0.0,0.0,4.156365348811514,4.367253942841755
gov,50,flores,111.88008341403294,-174.04337186874383,0.0,0.0,0.4762529314042658,0.8229828066699678
gov,50,bible,26.186267608094187,-42.79738703133126,0.0,0.0,0.2632144690130939,0.45484440389374237
gov,50,gov,-42.475634280511755,151.1100073158864,0.0,0.0,4.45488694592229,7.698210490343023
bible,1,flores,9.056227574084476,-14.58820681509143,0.0,0.0,0.30867337763305186,0.3335888242826305
bible,1,bible,5.568527314762788,21.04985963775725,0.0,0.0,2.9879527837386357,3.114864280880799
bible,1,gov,6.465878012807097,-10.70900656864503,0.0,0.0,0.1876635879116871,0.19018081312555027
bible,10,flores,16.031868311632778,-25.278395662710004,0.0,0.0,0.24102073267170654,0.2813423235450093
bible,10,bible,-1.9490553791612,54.389980274440546,0.0,0.0,3.1518857645079743,3.540462965778018
bible,10,gov,12.29807233916441,-20.216425745289335,0.0,0.0,0.2603054533575642,0.2731981959756275
bible,25,flores,16.81489310136006,-26.092754065764826,0.0,0.0,0.2481201582775019,0.3175247137857716
bible,25,bible,-3.492853619986314,64.80105425611157,0.0,0.0,3.1469824956751404,3.5364093983742197
bible,25,gov,14.740893382829418,-24.375895913540376,0.0,0.0,0.2313732743012639,0.2632806875366681
