train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,rmse,kfold rmse
cc_align,25,gov,1,flores,35.68210101769246,-47.78329726637169,0.0,1.1897024344138274,1.264970385200167
cc_align,25,gov,1,bible,11.355884854377104,-16.980726227671294,0.0,0.249461012754523,0.2603181947261463
cc_align,25,gov,1,gov,44.014795772903405,-36.24494071758303,0.0,2.4105836030381567,2.4681637053592844
cc_align,25,gov,10,flores,53.6857082535116,-67.08888278511196,0.0,2.0573503435824363,2.2348234890086394
cc_align,25,gov,10,bible,11.958828066835135,-15.511385862365566,0.0,0.6648328132683363,0.689519430598962
cc_align,25,gov,10,gov,43.87222018359365,-14.763181893256187,0.0,3.820331919920409,3.8218500652586225
cc_align,25,gov,25,flores,54.931742162051975,-66.36185797511182,0.0,2.285799043621151,2.493605887993095
cc_align,25,gov,25,bible,14.378724496654973,-18.794815996398913,0.0,0.7214062588400507,0.7763519731573076
cc_align,25,gov,25,gov,47.13806999749389,-14.236883761298587,0.0,4.311489527547506,4.314042563247261
cc_align,25,gov,50,flores,91.81963804054278,-124.78279070765575,0.0,2.653613888504779,3.631445428159621
cc_align,25,gov,50,bible,-2.346216645614268,9.24368944021244,0.0,0.5715476066646652,0.5905616798192987
cc_align,25,gov,50,gov,89.81690686195762,-77.02818333603861,0.0,5.3072277760320405,5.613689313578256
cc_align,25,bible,1,flores,9.832577303022967,-13.624569212439795,0.0,0.3894663374839513,0.3965620241587206
cc_align,25,bible,1,bible,20.200934968493602,-3.3186728638172607,0.0,2.7090324296756103,2.7117952707407302
cc_align,25,bible,1,gov,6.4251510245323615,-9.088797363620944,0.0,0.3212980259112278,0.3291897493099422
cc_align,25,bible,10,flores,15.098302323218725,-20.536428704568177,0.0,0.42860119717974404,0.43546069663674586
cc_align,25,bible,10,bible,19.544401930982804,13.83066406394972,0.0,3.4880001211869054,3.502709526526435
cc_align,25,bible,10,gov,13.784954845038046,-20.246018136044086,0.0,0.2710953624942286,0.27539929158980914
cc_align,25,bible,25,flores,15.739081420202291,-21.2078570849068,0.0,0.5358471708664174,0.5691940970341658
cc_align,25,bible,25,bible,20.94648713387125,18.182972812485392,0.0,3.4468310735622163,3.4638303991987724
