language to,c0,c1,c2,c3,rmse,kfold rmse
ka,27.510162382639784,-19.542070858919413,-39.37592444457494,19.833916452688143,4.239018149780686,4.291339523086828
gu,32.96722132857865,-20.723311230478604,-41.68838722826948,20.965064513264632,4.659089359750576,4.732969783577648
hi,35.112994045589176,-23.126885190499447,-46.42436618633095,23.29782908878563,3.2639467620579734,3.3209711753037885
si,42.84333166368166,-27.26126564688453,-54.69167663618041,27.43077979859986,4.834263466970598,4.90663567118102
ta,33.12403630322134,-21.332521859345782,-42.83161294774081,21.49935700946772,4.217606701869773,4.290796179852647
