train set size,test set,c0,c1,c2,rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,2.674190061183261,1.2354813959226796,1.4105080841429063,8.493134753987706,8.637997213361967
1,gov,2.74883299783916,2.0761340520797025,0.6075413941221157,9.657120133139472,9.838299009975929
10,flores,2.6046661005301552,1.7079280840164632,7.243414530854279e-10,5.654942693898217,5.554961743508072
10,bible,3.0648974498076917,0.8190313938022988,3.046955114597212,13.174764342780474,13.332492520957171
10,gov,3.333357809188797,1.152102713142752,2.9677632335743964,17.040662371991598,17.823444477390616
25,flores,3.4749797828903937,1.5752217706837133,-1.2000606739696834e-08,6.695384524915192,6.763471533713156
25,bible,3.246137824153287,0.8521000720550332,3.2523050104316584,15.006965242512118,15.18590023051046
25,gov,3.5859078315184276,1.1424926301288922,3.070794209371802,18.93882336110233,19.885072826527104
50,flores,2.499923679762528,-1.946215577532585e-09,4.261149609025273,3.4486417773703923,3.5730585864644016
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,3.493828307128246,0.2024171917910783,6.0,5.327624289155745,32.34341143196133
