model,multi factor,multi variable,overall linear,sliced linear
linear,289.15%,100.00%,100.00%,100.00%
poly2,288.50%,99.78%,99.78%,99.78%
poly3,287.66%,99.48%,99.48%,99.48%
exp,290.28%,100.39%,100.39%,100.39%
log,287.30%,99.36%,99.36%,99.36%
power,287.22%,99.33%,99.33%,99.33%
hmult,287.94%,99.58%,99.58%,99.58%
scaling,287.30%,99.36%,99.36%,99.36%
