train set,train set size,test set,c0,c1,c2,c3,c4,c5,rmse,kfold rmse
gov,1,flores,0.8318564515484315,-0.3552132651600461,-8.911849686754811e-09,-0.0003151417890472181,-0.001418080573029368,-1.0974130633963604,3.2365469148153556,2.7791029231018998
gov,1,bible,0.0,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,8.470216091748968,-0.00019736514494175038,-9.695339604560201e-09,-8.67251194542263e-09,1.8363141720121332e-09,-8.40274103901085,4.219014800326762,4.361061790495487
gov,10,flores,3.1999340901797786,-1.5360659092196864,-2.1060726140707557,-8.14133966382339e-09,2.615859212916713e-05,-3.2594251533881304,4.047067719886753,3.4000421545551065
gov,10,bible,0.0,0.0,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,21.327560461521188,-5.88550168837309e-09,-0.003153911865176138,-0.01317214629232071,-0.00046540861503629414,-10.862627140001925,4.9475896826713655,5.212144754168095
gov,25,flores,5.33613225658267,-8.09681958939539e-09,-1.6055133004460649,-0.0874226478502644,6.181265780994424e-07,-6.2321433931232795,3.6709757547095743,3.5188393147624866
gov,25,bible,0.0,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,20.486893845986984,-0.0013370273505163446,-8.316206520345888e-09,0.00047111549107256275,0.002221114902382635,-15.688201808117592,5.680836518445266,6.375576563368479
gov,50,flores,4.830073270536314,-0.4849682370382088,-4.134860807885069,-7.868207697912823e-09,-0.010527046801283796,-3.309110630591351,3.7003949137016217,3.443500651957694
gov,50,bible,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,31.13735016717005,-8.340228960798815e-09,-4.1839941309338,0.12771487558353115,0.6838099373086726,-6.502418218325409,5.822854528320104,6.572270705345403
bible,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,8.35935865443639,-3.3615145507822603e-09,-0.13615370140602026,-0.00028876801340923597,-2.7111476052773426e-05,-6.065182790520804,4.159557422914711,4.077918550160487
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,12.916540281208022,-8.122475436215323e-09,-3.7905632195359598,-0.023482194398444213,0.000653185580725224,-8.047411851028421,5.389672351380891,4.390293925908112
bible,10,gov,0.0,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,27.156350277092702,-0.010698063297790666,-0.01855163435850736,-3.535794048690668e-07,-6.042200036382093e-09,-2.1121032393328476,4.603280503756974,6.1369921588726335
bible,25,gov,0.0,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
