,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,"[-0.5, 0.5, 1.0]",0.0,[1.0],1.2730923594699382,[0.5],3.133406718295958
kfold,"[-1.0, -0.5, 0.0, 0.5]",0.0,[1.0],1.3197556535703363,[0.5],3.2967401926318027
