,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,2.445024353934401,3.663900178802601,0.8983481575603558,0.7243774861131453,0.8394788858041058
1,poly2,,2.4450243539344005,3.663900178802601,0.8983481575603558,0.7243774863034522,0.839478885999116
2,poly3,,2.44502435396459,3.6639001788327903,0.898348157559742,0.7243743433502958,0.8394756653818789
3,exp,,3.1502181711679245,4.369093996036125,0.8829510259682033,0.14004966954835493,0.27988649032194246
4,log,,2.445024353934401,3.663900178802601,0.8983481575603558,0.7243774862812342,0.8394788859763481
5,power,,2.445024353934401,3.663900178802601,0.8983481575603558,0.7243774859923499,0.8394788856803261
6,mult,,2.4450243539344,3.663900178802601,0.8983481575603558,0.7243774858207771,0.8394788855045104
7,hybrid_mult,,2.4450243539343997,3.6639001788026,0.8983481575603558,0.7243774861131409,0.8394788858041009
8,am,,7.503028912329336,8.721904737197537,0.7204574332908366,0.5067132291719257,0.29423989664037464
9,gm,,3.6911833755234715,4.910059200391672,0.8695766797786708,0.5892301366510585,0.2399142406575045
10,hm,,2.446932691545733,3.6658085164139336,0.8983093529487591,0.6881280274002873,0.8027582927639018
