,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,True,False,13.965495106861345,4.1023203976182695e-15,0.5196152422711512,1.6839382851364095,11.004252643000992,101.66577970769592
poly2,False,False,119.66257328525411,0.1685185185186171,15.00297499041226,64.71747548177512,196.3798587511928,518.8619065248441
poly3,False,False,566.9107617580183,8.311807936110121,85.95557424137802,236.77526597375854,810.4100009787086,3182.497172134902
exp,False,False,7.363364015894556,0.002497542717332,0.538004941561695,1.5848463499497432,7.405202315430321,50.30039761274261
log,True,True,1.6595206819848598,0.0005946682738653,0.09249497672511298,0.2388712171853829,0.8963105155684826,13.942174498818051
power,True,False,10.168828997745402,0.000399072544687,0.09843225669363465,0.25773223664342415,1.6703940933101866,132.70636999862683
mult,True,False,10.168828997745402,0.000399072544687,0.09843225669363465,0.25773223664342415,1.6703940933101866,132.70636999862683
hybrid_mult,True,False,11.132094736534844,0.0001829219186249,0.12753565867990468,0.28294103304872054,1.6474812393951475,141.6570947820706
am,True,False,13.965495106861345,4.1023203976182695e-15,0.5196152422711512,1.6839382851364095,11.004252643000992,101.66577970769592
gm,True,False,13.965493637244647,9.173067274558416e-15,0.5196152422708282,1.6839382851364078,11.004252643001026,101.66577970326225
hm,True,False,13.965495106861345,4.1023203976182695e-15,0.5196152422711512,1.6839382851364095,11.004252643000992,101.66577970769592
