train set,train set size,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2","c4,1","c4,2","c5,1","c5,2","c6,1","c6,2",rmse,kfold rmse
gov,1,16.834226706026925,7.755978607681749,3.482049106887007,6.3131754431260765,2.1920115293100872,7.011627249041936,3.613405198441327,-1.5932535474399263,-8.906481075901592,-1.8824383108693177,-18.726992140405347,4.829872303977662,1.3611470449207015,8.055722603638072,8.459282429374703
gov,10,23.738619983329283,7.012873094462969,0.5916189042253772,4.218867136172063,-1.5361818401168605,-0.9685561733679103,-5.566046353665677,5.672870271183407,-3.6067900624539564,4.442169159377704,-12.927531043950582,-12.837293514411904,-11.834114988053832,13.957299961787221,14.666760325599828
gov,25,26.686409870839498,7.826898264483834,0.6037198428750498,4.228382694003367,-2.2360012262046833,-1.6536897450249233,-6.869835552624213,7.518897296855898,-2.702815770289201,5.3172282367815775,-13.917977275626054,-16.97633287968405,-15.084694019731527,15.323779632453146,16.088591633773216
gov,50,11.008617262935637,2.919066934281266,-0.09157826047888491,4.229026112194083,1.513365170651493,-7.105249979622468,-8.976913279775316,5.6534248457145875,3.1678305133361353,4.093006153861171,-2.131024542139885,4.403530323403299,1.7614869420894879,17.182031958488338,17.875015160431808
bible,1,7.1695864261376085,4.7112929722418215,3.0320770417692913,5.123522510030839,3.330530885295366,2.229902282123294,0.7955894041461485,-0.33770456869128607,-2.4003231792391153,-2.903777931169714,-11.970882541556838,12.19223356496274,7.674605677462742,7.742494573600415,8.012721568559607
bible,10,8.96189148339322,4.9072380107186175,2.711338888186256,4.845432852899196,2.6204131848364347,0.12959128612219167,-1.6714807695901848,2.381643602859248,0.16570641437499325,-1.2223830295275917,-10.38819785620323,8.27925179458353,4.717052853644783,12.330396053808993,12.754957530454247
bible,25,9.276711764008379,5.089350996297112,2.817467598511004,5.1488880851072585,2.8400974892185116,0.32276829460150186,-1.5348999038334152,2.3618223886580223,0.048542121131560374,-0.9555971069047411,-10.169165907222325,9.13263006097812,5.277497628631416,14.151701938321924,14.637026462465746
