model,multi factor,multi variable,overall linear,sliced linear
linear,289.39%,97.12%,96.71%,100.00%
poly2,289.39%,97.12%,96.71%,100.00%
poly3,289.39%,97.12%,96.71%,100.00%
exp,289.39%,97.12%,96.71%,100.00%
log,289.39%,97.12%,96.71%,100.00%
power,289.39%,97.12%,96.71%,100.00%
hmult,289.53%,97.17%,96.76%,100.05%
