model,pareto,rawlsian,gov,bible
linear,False,False,14.801955886291452,12.245406501343776
poly2,False,False,14.80293143827618,12.363997117757757
poly3,False,False,14.867453476895822,12.294969185872391
exp,True,True,14.56568112163892,12.035903885565396
log,False,False,14.750523966170274,12.196845497777309
power,False,False,14.941390066281532,12.212047830642534
hmult,False,False,15.566797838578005,12.489717280848394
