test set,language to,c0,c1,rmse,kfold rmse
flores,ka,5.011607856386033,0.4890806872850694,5.2959171174257795,5.40237669492732
flores,gu,8.616471051656209,0.4972570734280519,6.6982676793800335,6.833993305709945
flores,hi,8.838651437716136,1.3426964193469804,6.729677453735982,6.833506076186372
flores,si,5.541214003060094,1.1718300696259607,4.34225782108199,4.414271293711484
flores,ta,4.624662838400912,1.3448856689256303,3.613266515746789,3.675544237259714
bible,ka,10.882620601778905,0.49638338733392656,11.136931583777471,11.367531198621963
bible,gu,13.052890231124398,0.5025103413336016,10.395351948888758,10.618392632592805
bible,hi,12.035776248115548,0.1303765435765319,12.289235551665408,12.576716384132638
bible,si,13.126709370925571,0.06999263335601039,15.801764917119987,16.168704482591686
bible,ta,10.409403485773474,0.1206412778487301,12.51793227845723,12.794281939470656
gov,ka,12.742424580122826,0.4849319652476904,14.19493902633572,14.481907022768189
gov,gu,16.43234583276278,0.49592042787492296,15.362755592684726,15.777308144394661
gov,hi,18.21856551520552,2.565802914535471,15.320450007909862,15.541189492967622
gov,si,22.91427283907073,1.96095296049664,20.938919859649314,21.23687052631522
gov,ta,19.146052534476638,2.9429652447635273,17.183458748337817,17.430151687894078
