train set size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
1,flores,1.9652334714063542,0.2965197229376866,0.0009415653277023429,0.9632803775008525,-0.00016475359465256491,-8.81771722630682e-09,-0.6203357237325229,2.33023026278585,2.3372758372519997
1,bible,3.6351469478928182,2.1220018382438868,2.813720129295667,-0.6053809572648545,-4.533323443414821e-09,-1.5154700289048322,0.09584680872670409,8.293776428934462,8.763505760888027
1,gov,5.17743491247716,3.5176838079706685,2.0097354283706688,-7.143420952137303e-09,-1.135582895757119,-1.632096564952481,0.008798866636093432,9.453003142903809,9.997168052581918
10,flores,6.678314491236524,1.8531214298031302,6.0,-1.2231534105846662,-2.612884330888075,0.37822402526478915,-5.036906315007678,5.0931491582168515,5.382798730373971
10,bible,4.831756875659379,0.17663114717377734,5.54144721182962,-0.43964793436839755,-0.014607023328851835,-1.55277448308567,0.014381241357696887,12.980592881449406,13.841576817825995
10,gov,3.9700425814551012,2.333540013453266,1.9880259683677046,-0.7414222397970212,-1.3300824670157386e-05,-0.4551925254767408,-3.6849120272061714e-06,16.85114114675074,17.85217910892088
25,flores,6.679827929329628,3.7731657669111107,6.0,-2.0317866015909716,-3.4951052469328108,0.7410576418914683,-5.769210563864885,6.1126848656987,6.507206239441844
25,bible,4.48108094311278,0.001001845818034977,5.940593755769939,-0.35807957043619104,-0.0764397534331272,-1.4091006976981246,0.001764817284522954,14.813058178185132,15.865779109872117
25,gov,4.302725071693168,2.5970404899356065,2.007838822158789,-0.9023552116830452,-1.3233713758124583e-08,-0.4516371478481409,-0.16704937647985132,18.701333918495315,20.028450820340364
50,flores,1.6693223636014345,-0.06565768504195567,-4.405930500600395e-09,-3.5052229399739283,-0.9015123080526231,3.968758256511966,1.5525954253611491,0.10404266336521054,4.714694635745332
50,bible,1.626594267043713,-1.3256895449865e-08,-3.7330165182732045e-05,-1.5182208275658202,-0.8297637298511674,1.651580251108937,-2.0812952215269945e-09,0.5844411140964278,0.8950035357851439
50,gov,2.235705528713065,-7.393821187546356e-10,0.7568595174325795,-1.4005855830530227,1.9623126555909318,1.6281880709863026,0.7514913280568818,0.027870725070050905,9.113364411880646
