,mean,std,min,25%,50%,75%,max
linear,11.426186058152853,1.5859811879965142,5.096931165026832,8.41065741995445,11.512585079602486,12.959386720404966,16.347655610249102
poly2,11.311362722859853,1.5512195589210955,5.114173221966366,8.092781193042256,11.172292212132813,12.790953591866389,16.420626677490848
poly3,11.205305620207072,1.5217423310557223,4.940661088586032,8.014690948035712,11.114492286150227,12.757044865281443,16.18022509395871
exp,11.428686746071676,1.5643450596336819,5.120528011428277,8.421576196228418,11.514809363217452,12.90604036683676,16.347211891191915
log,11.451505637628046,1.6452117643579798,5.195188071097907,8.35319988675483,11.269778576690905,13.131609279547757,16.347447386924888
power,11.416946632073532,1.6220712121014138,5.109170015567265,8.342054208961397,11.30912996153247,13.026004588053198,16.351250245681403
mult,11.421549497367456,1.6250873767481453,5.137085227138409,8.342054208961397,11.299478445046544,13.033719158243457,16.351250245681403
hybrid_mult,11.404042965078823,1.588500317886466,5.107152568907223,8.368181883804077,11.400979621351105,12.928481403610839,16.34502552320297
am,11.632959978225097,1.6667592353930751,5.118607235904034,8.624920860169613,11.523150950128265,13.623168576534,16.347655610249102
gm,11.580955697909038,1.6578189089435662,5.118607235904034,8.541607936585985,11.517506224626938,13.495879016072449,16.347655610964363
hm,11.567339642009737,1.6501008102369927,5.118607235904034,8.528487726344418,11.517506224788054,13.457381857792665,16.347655610249102
