train set,c0,"c1,1","c1,2",rmse,kfold rmse
gov,20.7298530788917,-3.4408887676867226e-06,-6.3528710083998945,14.42343429262995,14.443908472778642
bible,9.50474464824635,-1.487529585767392e-09,-0.0057867787278835766,12.018187691820463,12.022314647824754
