model,pareto,rawlsian,1k-ka,1k-gu,1k-hi,1k-si,1k-ta,10k-ka,10k-gu,10k-hi,10k-si,10k-ta,25k-ka,25k-gu,25k-hi,25k-si,25k-ta,50k-hi,50k-si,50k-ta
linear,True,False,1.3830323098398711,3.635620034676166,1.7535398978180556,2.014386090501327,2.4917239662479047,3.343303603877264,4.798006455553007,2.8384768915217005,3.914965144398408,3.763809726494556,3.368876249414404,5.17061589930623,2.721250604159998,4.269038233400008,3.5869634621804454,1.1268719350619982,8.059689467373452,6.014571959075986
poly2,True,False,1.4867686372333793,3.472851399012861,1.7557713350133457,2.026485034803733,2.495292390482488,3.428068082622989,4.491087660349336,2.8412593156369508,3.916821237064248,3.767403755520052,3.368382566089993,4.711092767644728,2.8425350904368094,4.251483035257357,3.585438203473871,2.2749493813010955,9.4563237753014,7.028050705576852
poly3,True,False,1.4518897442435283,3.537970487918356,1.7642244519473644,2.0332711335628613,2.485644338231962,3.3508727430958376,4.562554247290242,2.86999209033486,3.783259759304013,3.735453483701816,3.364478581696352,4.81281994841278,2.6249754844995623,4.042549960913894,3.573662592713459,2.202314202704456,10.350568658900212,7.295667940443731
exp,True,True,1.844327770697876,5.232229937375947,3.1585554833841614,1.176942801589034,3.1039990316179846,5.046882789190247,6.902435608719048,4.579434377418783,2.212528161649835,3.336159202913769,5.45645692220378,7.561425950498214,4.814891086523572,2.497090745059241,3.088847404573553,5.069379462625668,3.6100087322333216,2.896470539765802
log,True,False,1.5268646326698203,4.968096299177649,2.775784186177544,0.9665284565619068,2.771044269564627,4.7633754180453325,6.9487545396773385,4.4091981400733085,2.031242027321326,3.189959473508223,5.195143295275124,7.749280234806709,4.666170682110547,2.1247382263376537,2.8617967075742343,4.2510552114346485,0.5158575529863871,0.9710324318463484
power,False,False,4.781454322283156,10.18351681579916,6.328039502116691,0.9925862658301208,5.782807921869818,8.026873258225873,11.321561603327426,7.523435595323736,2.5137503147086986,4.146687421370647,8.983355325586466,12.519821652421053,8.133422640481323,3.645883162373126,3.875592681658748,98.94227597230618,4258.76043372476,1896.1733685008064
hmult,True,False,3.181072543509225,9.511336619346386,5.929421493112579,0.8017645578135543,4.857437663269741,8.581167203095541,13.197303905004096,8.578444327154548,2.5547580635101075,4.155655395803877,9.986739295628274,15.23829206507502,9.582130183409234,4.008470061061376,3.959021085706599,43.64419145400425,210.07255473263925,148.4611478782683
