train set 1 size,train set 2 size,language to,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,loo rmse
25,1,ka,-6.350961667129262,13.439386561596368,-27.51142756098069,4.71762633393014,313.3309094604533,-1210.810046934742,1217.9125753614233,0.5119754816720703,0.6335297089861567
25,1,gu,-12.902632552784967,-33.65357686192817,59.848229354065516,-36.673239749274195,485.2454718728617,-1660.938371433532,1548.8212562805563,0.631971664709881,0.6326940198959553
25,1,hi,6.861946162343475,-46.817999496606426,142.60972686905555,-150.92389978728204,268.1278574833039,-1031.8415975569797,995.4006430072568,0.3820507087796367,0.3854772343921416
25,1,si,-31.07911564037708,-15.167956679523474,66.0881757469507,-87.21418620155319,623.5396977763189,-1957.857908503755,1688.2461215511457,0.4517360880027022,0.46496954679453134
25,1,ta,-13.131260389584337,52.94738555662587,-177.33150283100295,157.80660529835853,382.95986721224773,-1315.2264842169716,1184.819805711125,0.17409274510180903,0.23278945254113567
25,10,ka,1.0800588682605958,-10.658631375926063,17.50990097010163,-19.641911068616963,446.94269562769625,-1817.2041393030847,1873.0551558670877,0.9103368486570075,0.9550229858468972
25,10,gu,-0.12726330642056397,-33.556187475208134,-8.899033514737154,59.96096851880981,559.0309047937382,-2071.2984018916113,2018.9946253706394,0.7765838315542273,0.8036469507195847
25,10,hi,28.774976508456728,-217.1377516583156,637.5550621104942,-588.3369844203594,363.852338033287,-1495.1357031788739,1504.528476175061,0.9610397566660795,1.1674031354913461
25,10,si,44.80755852874855,-83.8761268606005,240.42188986430577,-243.59137645021553,160.67867643973898,-960.4555817222985,1021.0634070487656,2.1837287954855276,3.047995658237104
25,10,ta,-24.776599099233977,236.1215056563709,-801.0445225195939,732.4235403001576,674.081067251937,-2499.6986437054156,2387.9658571112045,1.6682603442501795,2.0498568682229563
25,25,ka,8.664482412117788,-17.88238767339429,36.3037743375325,-30.89450760287424,413.4757919885738,-1748.4699074355938,1813.8012018267852,0.8213767703534918,0.8661675690596797
25,25,gu,7.0456145508210914,-30.076491147363257,-26.910778945986188,81.27033195050129,532.2349370164982,-2045.1975612850524,2022.067985748177,0.8811184067081529,0.8908369882988353
25,25,hi,41.194105900068315,-247.34202243710493,719.7282450906984,-654.5645720367622,293.47811006229136,-1293.546043018575,1311.800027709538,0.7412956737185163,0.7840942630237786
