train set 1 size,train set 2 size,language to,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,loo rmse
25,25,si,56.06265201021381,-96.28250061154452,273.23594828603916,-272.25537284496835,98.92415719149542,-833.6867487289189,939.8670280669943,2.610503293381903,3.8708684800335518
25,25,ta,-5.194497162296158,148.70448449067703,-535.0300993514702,498.62791063288444,576.6033443984487,-2248.835025365652,2184.3365734363847,1.809950722474634,2.1743987458620158
25,50,hi,62.668668454092334,-56.7194732389488,83.68709965549641,-45.936658907378806,-91.8873924123257,-5.3527944603839615,23.102378532400138,2.794234950738098e-06,0.11191558277077183
25,50,si,27.436190930922407,542.8316039506232,-1897.7624401786375,1847.036106397,-119.26386275835736,9.57826950714779,49.77405981592989,1.1519677347214937e-05,3.668200969259634
25,50,ta,54.892518704776194,71.84970101152798,-323.28567067255784,334.85930680964447,-127.84623495280891,31.976238530615557,76.39275627833332,1.1656150325457135e-06,1.1992470105556319
100,1,ka,46.03972626552369,-211.5167495918147,59.92300054127084,212.02236951676656,451.24492321165405,-1681.6953035562094,1684.8048097546975,3.81564681113575e-06,1.6453537285475928
100,1,gu,49.97229863881704,-308.62496588920413,97.03194788033048,318.19753644147175,732.9841941091537,-2547.3567539973255,2467.0817237430265,5.861637555786349e-06,1.7577200918855427
100,1,hi,-42.36774763536873,156.08840826861024,-70.25923419300591,-166.16799062251783,291.0209402755146,-996.6507235615992,869.3708850009212,2.587038291299647e-06,0.6024048058509212
100,1,si,-141.2382897631457,266.46726888640893,-127.13094356228532,-301.9801653058506,1103.3795158876012,-3342.904486519405,2882.1881113886498,4.1332251200083316e-06,2.36151105974893
100,1,ta,-231.13896518686778,881.3025253664872,-449.7455677620851,-944.1904082518689,419.94313452475757,-1259.287193099002,1007.4580544744575,5.9689969485137825e-06,0.36218728255637667
100,10,ka,351.5825966792447,-1310.778354450384,385.81729266808946,1340.275160666207,869.7414167308577,-3649.7645058276908,4029.809320248288,5.411324734799325e-06,2.3333230709829578
100,10,gu,-2988.768598678969,11667.792235123006,-3593.3140277689376,-12049.539708283086,-5314.78126363252,23078.151245116267,-27153.370610652015,2.502443976164134e-05,1.3142814586758265
100,10,hi,138.86279551127302,-595.3757892630482,280.39395924924315,646.4147985638158,620.5056743320481,-2483.406630992114,2584.531652295622,1.1162061517843266e-05,1.2491847336957678
100,10,si,-489.88544294711124,1826.8325305946628,-860.9566568396561,-2023.788633706473,1419.3962331041034,-5467.942962961613,5533.707642913383,4.627878027348564e-06,6.020523592725755
100,10,ta,822.5831585772223,-3411.7405634695215,1722.689993761582,3628.1343592843,789.0088684416871,-3348.358728103293,3532.6438142298753,9.934344660576624e-06,2.2478845572056274
100,25,ka,287.61851011724735,-1046.8539156151007,310.25732297203217,1074.271805224986,743.3583174378181,-3180.4172625172637,3497.625855096446,4.494594029797985e-07,2.0054677092700053
100,25,gu,-1278.9242985814683,4982.660976914218,-1549.208080925296,-5161.377998489497,-1894.8042692527424,8462.6785339544,-10238.581428297044,1.9059853603352532e-06,1.5394007727457286
100,25,hi,75.83865182716112,-295.8784222036058,146.95093096259333,331.02463240213837,468.92303012640394,-1918.543224222659,1955.4852477482502,8.787954140899636e-08,0.8468457673538641
100,25,si,-618.3554561616168,2410.4682148026586,-1129.8448027099855,-2660.8248271310513,1397.217973701413,-5727.549608256773,6003.972900993375,3.478671940827065e-06,6.7209838134305295
100,25,ta,1076.8825972395439,-4460.595156725076,2262.599948307711,4757.74580234699,902.3816789530989,-3925.5697945165857,4205.292461815775,5.999708930277792e-06,2.459928672401545
100,50,hi,43.114371819328525,7.637621345017325,-2.0945300642739344,-3.6944340033774177,-54.41105194382741,-37.35867172092341,-20.358031065486287,6.189343266196119e-08,4.104933862281987
100,50,si,42.89002611697956,42.59801013736144,36.02787306119377,25.992979851846794,-118.04049411969005,-26.505908494677662,10.754242149895251,2.64244836287078e-08,16.13341471077255
100,50,ta,31.593625156377225,36.23523303095469,23.14098740298296,12.322714144916192,-72.22036645151164,-24.83051063189243,-2.877961621149769,5.1327644849364796e-08,11.517880150049423
1,1,ka,32.42234406735578,-43.98300085094679,217.50189866892825,-405.6786027771354,69.340193386645,-397.7838296447765,311.5750356208777,4.033456048767653e-06,0.8941714947291229
1,1,gu,-50.33798305215538,-491.4451205385955,1490.595288504934,-787.3150737992025,353.67434613456265,-1559.5984674814263,2309.873992243653,6.0115968742070916e-06,2.4859039090910815
1,1,hi,48.85464575593929,-200.0326429010053,715.787721670162,-986.0536686171162,296.24106798408855,-1102.5599063907728,842.358564551764,4.796830961443651e-06,2.320048359562814
1,1,si,44.09451388506618,-308.78656136324776,828.5619762040329,-690.4260891955038,195.74966217338675,-812.3508898247399,768.6442231076575,6.355830949638376e-06,1.6713218774947334
1,1,ta,64.5245969380284,-191.59846405738935,539.9509734076381,-636.710002057862,152.26390983454112,-691.2281377419058,521.9040738480371,1.107198405247984e-06,2.4899891271289314
1,10,ka,161.52865862858712,-66.99091328467394,833.8908644876955,-2367.952453444312,315.670926537398,-1555.2698016845716,674.1762013967619,6.937324454752857e-07,3.1027312899759485
1,10,gu,-50.27437004914692,-76.20765081017345,-206.83013164761218,1092.9270977655924,112.98157072748616,-338.9498121177978,730.5521329439998,2.0894624379484843e-06,0.6586975108411901
1,10,hi,-20.28553005932804,-205.18524136155298,479.57841277411177,-37.03978616552788,445.9104296143617,-1849.0908722044626,2239.6083762893936,2.389665449344091e-07,2.3846457043564353
1,10,si,158.75080107407248,-982.6238248029313,2794.1670771248773,-2578.2854109316645,326.44239359291333,-1688.8876950762924,1674.1801720899464,4.899886505386625e-06,5.644150283144203
1,10,ta,127.21596006269759,-169.847489126054,563.628403030204,-870.15539246891,-143.93541483022202,-128.03513749576277,110.8761954995944,2.2026872066532035e-06,2.4913388803348666
1,25,ka,148.47340225554265,-118.79235396554773,999.98796018935,-2400.2743248421266,377.0792537015475,-1871.0105435948528,1176.4617976571633,4.23499015922599e-06,3.2448428143754544
1,25,gu,-36.769335744691084,20.573845256964955,-472.4891825985251,1164.495564633255,182.8214854063294,-623.1868191587303,873.4487537954125,5.202663845423727e-07,1.4981762648228665
1,25,hi,3.085031397940052,-93.34190151777256,116.58592181648356,169.53322064146772,341.31463829491446,-1469.9321598339975,1674.587327180183,2.324895343681695e-06,1.9092270077617957
1,25,si,176.11357955422912,-1093.5433635623635,3147.33820005024,-2925.4060752183987,364.83901349911514,-1945.4705008395651,1970.629533521769,1.1881855814944108e-07,7.484564992799207
1,25,ta,125.79782551670195,-113.50629791549098,357.32380768807104,-652.9753893704222,-162.61119692327404,-57.21845122882883,30.905653979911573,1.032563435390493e-06,1.8305837683133912
1,50,hi,63.69011075747987,-25.942997123973203,-6.021119903151117,4.606091797017966,-84.68004459687786,-27.068325486978594,-0.6453691194148469,6.195597385594258e-08,8.880333270959092
1,50,si,103.50777372326692,-64.15806885416275,-16.971096714380206,14.110783287913392,-139.53496672393544,-18.338463336931493,27.961152670494876,7.648694762161999e-08,21.330394287525852
1,50,ta,80.05876438551822,-53.01843655812742,-5.984192783528757,16.77109358407628,-108.34039293236455,-16.64116584822837,18.582874612209363,4.038522947428929e-08,16.863678650950327
10,1,ka,21.765385319914373,-50.4354471369406,235.95897466256153,-497.5547974016916,362.5525816707377,-1332.0294975250322,1108.9966492964832,1.2325328304101411e-06,2.024778027206216
10,1,gu,24.031993404275124,304.0978575836707,-1247.8665741694401,846.9440455529935,673.7865916580372,-1993.527046252449,1128.2824732506251,1.911215585960775e-06,2.902179937321321
10,1,hi,95.33466777278032,-80.90600235783522,210.28018051411615,-796.8551550262309,272.30443425254657,-761.1556224287648,-99.41500245110328,8.966344301271211e-07,2.0395067008641607
10,1,si,17.440663470599535,-176.41202012228032,603.2525465495191,-580.9456282862928,249.4556711684237,-1011.3871228116839,982.0249815557288,2.0493379985520855e-06,2.2872695159303604
10,1,ta,4.024408175114654,-46.2873763618458,143.31873189868273,-177.69623442972278,359.1567331027187,-1270.5924118731712,1128.379805441784,3.0296402643534677e-07,3.111922249848574
10,10,ka,-53.253558103472486,-351.95607488133885,1391.1787351795892,-1048.964784742043,545.5351495344917,-2423.0568291277214,3221.8730938588883,7.336808804769614e-06,2.9795962883634597
10,10,gu,-20.11101738073924,3232.8131465030588,-14210.191677177345,17162.247244158138,-3406.3894160363675,14542.84124130528,-16528.292094499997,3.4452035972674574e-07,1.6103186357862644
10,10,hi,9.565755011706868,-554.9627811471246,2054.0772964909634,-1990.1459524865681,526.6985570188579,-2351.9927454390927,2841.854792944293,5.477245513857864e-06,3.0470586604767034
10,10,si,69.65598899726676,-654.671948625567,2318.269612075008,-2361.8259222436454,476.58663485989854,-2292.6011055098797,2468.3956696654363,5.625753676260902e-06,8.976411466718078
10,10,ta,100.9942840921456,-435.00567213004535,1590.335562147109,-1891.5579575010192,308.3733990272107,-1747.594758701588,1766.9053035295299,1.0250051555035019e-06,5.0301429240772375
10,25,ka,-133.98923063986246,-614.705415282928,2147.4265464446694,-794.8449325621302,304.59110038409193,-1630.2862087670542,3318.576118516895,4.5841997714491005e-06,3.254900084733008
10,25,gu,-69.24366675815459,-787.7464064504684,2049.654114520108,214.85151345649345,-1270.9932282189213,4863.28503536341,-3661.2158210359416,1.710026900868719e-05,1.4495189823472416
10,25,hi,-20.552831074307743,-617.6492071284721,2131.223953586059,-1550.8728912638994,282.96060023958563,-1452.3095866827866,2269.6334441493555,2.628210560580068e-06,2.554433064752564
10,25,si,72.1848619151116,-654.502092833279,2414.312939394252,-2576.0730198959986,655.6734599708432,-3066.7269581770142,3264.9907971219054,2.207933097160847e-06,13.112608300618065
10,25,ta,104.19298677850782,-432.29999648672697,1540.7302070670546,-1778.5216151139257,225.93805714106782,-1478.7900438828879,1538.5011339634502,1.0500890509656203e-06,4.897640961092794
10,50,hi,67.37797906185119,-34.15942754582766,-4.484951059602769,8.21482426182998,-88.1309098103673,-25.649478701781124,1.8801367703195015,5.492320031715524e-08,9.280522584268615
10,50,si,103.2599219311457,-75.20203785075445,-6.393557484896583,25.01565980006317,-142.73630378954513,-15.027581548043067,32.579112814509216,4.94357492466081e-08,22.010226000449602
10,50,ta,80.21739725207412,-56.80346482994211,-1.4281555647264226,21.279702912888673,-109.19529387228583,-15.518529258189503,20.064055376203623,2.5710077487186e-08,17.166079123726625
50,1,hi,29.826535152525715,-14.873461235146287,2.6321258490936295,7.484246414302101,-35.766659259457256,-18.653272580454594,-6.999271242158437,6.185290858770362e-08,3.2665323104270527
50,1,si,44.51538818995314,-33.97643992013788,10.033992576012933,22.726026321654285,-51.67263554290291,-25.446102071075313,-5.337702598462373,8.425429787359745e-09,8.047810576062428
50,1,ta,30.59200604241947,-22.663841901581794,5.824267637551201,13.975138729036905,-37.73261448670059,-14.794757425453746,-1.3929866551873649,5.6028050300169054e-08,5.513086891374348
50,10,hi,48.52491723214516,-31.936315530918748,2.1932835976299914,12.553440356339834,-60.228214709557946,-25.48616298592202,-6.217681105194347,4.861135830873534e-08,5.7531208569849595
50,10,si,72.22297439386493,-66.24372503569629,14.886180239013685,39.14778291247654,-91.17195708216207,-29.5296841423718,3.571808738193693,5.002903453552509e-08,14.277814957675492
50,10,ta,54.6989333980528,-48.78108980023932,7.717116306081374,24.939230487159765,-67.51321759161826,-19.63074044821084,3.846626748277256,9.398180823234807e-09,10.659885017505774
50,25,hi,57.36753890287929,-39.47585687484029,1.5576590218127235,14.367509262611204,-71.29471133287524,-29.450601855012565,-6.8188864506623705,5.6677940669145216e-08,6.962178340252016
50,25,si,78.86458181440646,-71.92283107814407,17.074660493059383,43.51846276402205,-100.73900547699068,-32.599429556973035,3.731500604851889,7.381213372730524e-08,15.6066111752026
50,25,ta,62.10737185655952,-54.71966357282477,8.309815240623237,27.648115939043056,-76.63037657007052,-22.02286125900862,4.304240525133156,1.8341243572372492e-08,12.116722118169903
