,mean,min,25%,50%,75%,max,pareto,rawlsian
linear,6.28221738723352,0.0672805325047792,2.8527887775329424,4.959071669853989,7.402019686938898,21.441357409898718,True,True
poly2,6.640412564165841,0.1431257856361645,2.6753333065629046,5.523932742935678,8.274793093386691,21.68343605159329,True,False
poly3,6.622242109939336,0.1235300290975865,2.2077973816407734,5.773852372484521,8.215369961870048,21.93653675773229,True,False
exp,7.180730518604018,0.0029706949189544,1.9514331692859574,3.240203293693997,6.402841266921367,96.541172352548,True,False
log,5.238991309457338,0.1963197669560533,1.9561053550784782,3.7646792773324957,5.569383326695917,21.792181559333017,True,False
power,63.714244017084134,0.0240754982770747,1.3771940139514927,3.5413708673392366,9.839769667563154,4466.378884088651,True,False
mult,63.714244017084134,0.0240754982770747,1.3771940139514927,3.5413708673392366,9.839769667563154,4466.378884088651,True,False
hybrid_mult,25.853379914554054,0.025614396655012,1.8995187656810484,4.063508733970803,11.745786380664043,696.9319315836193,True,False
am,6.28221738723352,0.0672805325047792,2.8527887775329424,4.959071669853989,7.402019686938898,21.441357409898718,True,True
gm,6.282217387185473,0.0672805325047751,2.8527887775329424,4.959071669853991,7.402019686938898,21.441357409898718,True,True
hm,6.282217387128338,0.0672805325047792,2.852788777309269,4.959071669853996,7.4020196869389,21.441357409898718,True,True
