language to,c0,c1,"c2,1","c2,2","c2,3",rmse,kfold rmse
ka,15.794013603660296,2.651451673150673,225.99881029394547,-1048.6398654599088,1116.9619585010603,3.5921035889733846,3.6972085932259455
gu,-1.6066139140289613,2.2492951169002726,463.8272334922482,-1749.8068624212767,1712.7022662213167,2.700316369631342,2.779264612427874
hi,17.76038911694299,2.090322620722975,245.34245619848085,-1104.3683898899812,1132.9716043674528,2.6131002926294906,2.6619920181566807
si,83.86135265059734,1.2734240767654754,-481.3531820875253,1048.9093966150892,-790.3640867840082,2.4601085882943763,2.5025920082492696
ta,48.53783238209396,1.7839055123266154,-161.3186529975872,188.1101076101276,-73.0346061954692,3.4162814319890025,3.4927068088578963
