train set,language to,c0,c1,rmse,kfold rmse
gov,ka,0.6988661793531411,0.7399092340358275,11.741265570139198,12.083939977879064
gov,gu,6.1233606745357205,0.6712019666424516,12.38887835825179,12.706653937066042
gov,hi,6.437181704709404,0.3296659401673243,12.690337795297982,12.743753825771634
gov,si,6.360122153577655,0.3642579474271419,17.988906446118204,18.449885347085257
gov,ta,4.375716070595109,0.3294239736746635,14.965861966536682,15.248084629754908
bible,ka,0.0009184710174952069,0.47697868233452706,10.592014512727461,10.512665232601027
bible,gu,1.192292116763733,0.49138312618957847,10.612508423907967,10.98389491077178
bible,hi,1.6900242142865405,0.48786839283237377,12.393892974837982,12.149604409559593
bible,si,2.4387821157365184,0.5217683672570677,15.175445331491463,14.942992123960407
bible,ta,0.4600882287289347,0.5014740355834237,12.206343239670051,11.958090986507298
