train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3",rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.107641334314694,5.107641334314694
gov,1,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,13.947315405294137,-6.505983104239802e-08,-1.9271956831155273e-06,4.039888861128688e-06,1.6089177436247815e-06,-6.873147314042173e-09,-1.1684936827880657e-07,8.149612037038419e-07,3.0114683258800286e-08,6.888561125486708e-06,3.642502335595765,9.472720742322973e-06,6.481886589615417e-06,4.5515197513098276,4.564605017388723
gov,10,flores,7.8465647300768175,3.031213339486771e-07,3.107183204036474e-07,1.4044748122849504e-07,4.748286314837365e-08,-1.76554761909138e-07,-1.9140720270123064e-08,2.32575242789529e-07,-7.614176153669876e-09,1.8675861443391885e-07,1.7435634573405319,-8.46330102716694e-09,1.9125760965536035e-08,4.49220141727321,3.7862633228311333
gov,10,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,23.524407615593308,3.205626563494831,2.003161484091663e-08,-4.799755236191535e-09,3.600427953733593e-08,-3.649680350630526e-08,8.635421009931132e-09,-2.9055163660074886e-08,-1.4665808951318283e-08,-6.044444926143357e-08,9.49707894568023,1.547254585385284e-06,-1.918221522765827e-08,4.320635281560749,4.131635154448894
gov,25,flores,10.178632740207814,0.0003536040220706491,4.7428769626174515e-06,-1.73543114510201e-07,-4.317815846188537e-08,-9.614947558946188e-07,4.09147629061718e-06,-4.657546912453347e-06,-1.0607351729325937e-09,-2.6974809343487004e-08,2.150681743005804,-4.652259764788317e-07,2.0508973800767128e-07,4.767802352711081,4.424538289742843
gov,25,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,29.429816836150497,5.717091053027876e-06,2.6970257618636606e-08,-2.5609983915671253e-08,3.916057348013989e-06,2.48341610454422e-07,3.764679628286647e-07,4.311540401631912e-07,-1.0866613403099356e-07,-3.9649798015703966e-07,9.644879993005691,1.1452184571679497e-05,9.203507242281636e-08,4.6933143004995665,5.047555640356436
gov,50,flores,9.333035775430965,0.9583073989343247,-0.028301756987530527,0.024393139524132575,-1.0096293333576929e-09,-0.04648050650875818,0.026832520730349283,-0.023433817294224238,0.021766073883518904,-0.030700057420111067,2.9177150012664064,0.019064315759159966,0.007315845737583436,4.3342088995653025,3.7551221388232388
gov,50,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,30.917548623076588,6.403223172538915e-06,6.760750561659389e-05,2.289772960426402e-05,5.880193674948794e-05,4.7598639523265325e-05,9.60779781573211e-09,-0.00029030508009960586,-9.87028611000294e-06,0.0002687953600248423,11.904290377608616,0.1921121163006917,1.1851112284235922e-08,5.408826119107345,4.690991331316528
bible,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,10.370385793453917,1.6005278211276677,0.00037107853704018126,0.00025186084225424396,-0.0001388789466609455,0.0005676114342232769,-2.528565368193057e-05,-3.1787562709610623e-09,0.00036131355924743687,6.672979417826411e-07,4.132725230041536,-6.76396711353466e-05,8.373881149079622e-05,4.138704078563637,3.835222311245297
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,18.355030674831614,2.4182044034197534,1.202460370083365e-07,-5.055551773830042e-07,2.545080018304641e-07,1.0443106529176348e-06,-2.1772446003304757e-07,-4.352585285009168e-08,1.1291546188045825e-07,-3.7921833127998273e-07,7.264891248423783,4.105073499332268e-07,5.618129460493371e-08,4.429110734320702,3.9589522049641017
bible,10,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,24.031343530948345,2.026179789563659e-05,1.568438911717e-05,-1.111687618275589e-05,3.3315518695613034e-05,4.647409733939357e-06,-9.018707522165695e-06,-9.558417525469135e-06,4.884411493003466e-06,-3.7230707682273765e-06,7.32149180549481,7.224409642158021e-05,1.4676274340951545e-05,4.419154058780708,4.369795258247479
bible,25,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
