train set,train set size,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,1,1626.6342252363527,-7133.768817018712,10415.94771661098,-5038.10537052787,8.244020117647356,8.552490846717252
gov,10,45.423045134896626,-60.1204822303378,-18.037381267777686,62.21119831105111,14.033016247473839,14.49792005091805
gov,25,47.93919261839202,-61.740530100856766,-18.589415606310077,65.56542714314966,15.416009659037657,15.885295404185863
gov,50,104.18521862202245,-175.04671736002737,-51.18733590676029,178.25997628343356,17.182031959638085,17.87501766575815
bible,1,54.0431802873721,-99.88341903127495,-25.869590173337414,99.74561303812058,7.77936821705236,7.961332815621264
bible,10,61.72482764483783,-108.26618468065809,-28.661727598149863,110.48582340734347,12.341632662966363,12.64518664757961
bible,25,61.52186032298774,-104.8519773742389,-27.737940368960864,107.37962320352005,14.159974152706228,14.459875341584317
