test set,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
flores,ka,0.7164301698612731,0.6258671807016657,0.005799553107997001,-0.0007544287312367575,4.535875787231381,5.215297978013035
flores,gu,2.7387338179216996,2.3707657302654614,-0.21746937891178283,0.0055014622536852294,6.082557218520562,7.003745702274998
flores,hi,3.2696556926735,0.8133144625054146,-0.0338728705696236,0.0004779743404996059,5.152323822331613,15.752805054847773
flores,si,1.7629136914916845,0.5609972547797222,-0.022385208481876664,0.00030759198062615126,3.3124259196223482,8.354612129990112
flores,ta,1.2553049046563087,0.4669842599558923,-0.018449519432947818,0.0002625478521028866,2.427377857643661,5.612583666077923
bible,ka,3.524051950898253,3.052549164888809,-0.28571010708596906,0.007272377555146032,10.595635960474644,12.208870225193758
bible,gu,5.243273349418697,4.534493304529477,-0.4927020218637755,0.013182913331727279,9.99454024174727,11.527353785965799
bible,hi,8.957862568725881,0.8669217154438262,-0.021162750251648314,3.201025821445428e-05,11.241537581935262,47.48937943129579
bible,si,9.968027868422045,1.0022315159022464,-0.024988440022361398,3.103100583217758e-05,14.536059196126972,54.248879425692564
bible,ta,7.502933595083941,0.8192035682299692,-0.018465833996407773,-5.601163664364132e-06,11.474257969198307,41.26781596394835
gov,ka,3.4086189578130677,2.9570583038623437,-0.22347561907334426,0.005119171528963381,13.353495270948347,15.375952258064453
gov,gu,6.710585809991976,5.803867384239195,-0.6339740788890674,0.016948889799812426,14.983880307193363,17.28402611550456
gov,hi,9.120462422168886,1.2903518503694131,-0.0579445067590397,0.0008633730486104023,13.152241337908809,47.861778174174376
gov,si,9.210587259063997,1.92183940882049,-0.0842494971026211,0.0012385553770060615,17.426806659685482,49.320213051176054
gov,ta,8.581644022882218,1.4874671403459327,-0.06719608342208665,0.0010066786961124884,14.486274808233789,45.74325559298631
