train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,1.9351651032561286,-8.21848894293083e-10,0.35538515248294156,-0.018000831959773797,1.6761556852529027,1.4430474192041356,1.233249916418532,8.994472627717043,9.251948059012292
1,gov,4.004516350780158,0.005464812448982085,0.0052713382523035535,0.01106549920262272,2.5059514895543056,1.1572484049310907,-2.966421201591226e-09,9.981525043085066,9.816671945593097
10,flores,2.3799408599540772,-5.610452436193467e-09,4.023106668062199e-08,0.0001254714988551779,1.5022061499038444,0.7094118326823927,0.0003350407280699736,6.035539186395723,5.878533070232862
10,bible,11.556370318042688,-3.788927642868938e-10,0.00013498941002093245,0.00016331776098269007,0.006603513735829805,0.4905625834489731,0.0052837374220388,13.386785601196793,13.671217835530712
10,gov,5.413233536594276,-3.3071611133921256e-09,0.00030023082934153465,0.0018804849265580555,4.45654041809935,3.5954876133034963,2.820556710495929,17.27050112987881,17.065729530701134
25,flores,3.1385184616697246,7.52936123483215e-07,-0.0001522662560190981,3.64447536986249e-06,1.9731854269528213,0.9176699278898851,-1.4986320637779271e-09,7.030103545236198,6.935848486323412
25,bible,5.147601988315063,-3.243052550247439e-09,0.002083812051586872,0.001864719662571273,4.242064301671518,3.427083767219968,2.6935865428939634,15.241001247493566,15.77302429413589
25,gov,9.441388049171104,-0.27136792327362075,0.12076459242041543,-0.0038072520188868566,5.952967488237022,2.827016432481034,-6.868276628957604e-09,19.043883043329416,19.020781360493288
50,flores,8.038617813412698,2.077305289489537e-08,0.004246951461828072,5.292799320561178e-06,3.79742220425341,0.0016435256974134877,2.1137753975641862e-12,4.392370784751607,3.8309770183840106
50,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,20.547794573343474,0.004471703140607313,0.059275047428703875,0.017428944854771113,12.9858965409937,6.138315036263009,-8.120815403277829e-10,7.124494809804776,5.799645320834148
