model,multi factor,multi variable,overall linear,sliced linear
linear,231.80%,77.79%,77.39%,100.00%
poly2,232.30%,77.96%,77.56%,100.22%
poly3,233.11%,78.23%,77.83%,100.56%
exp,199.11%,66.82%,66.47%,85.90%
log,233.38%,78.32%,77.92%,100.68%
power,246.04%,82.57%,82.14%,106.14%
hmult,247.43%,83.04%,82.61%,106.74%
