train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2","c4,1","c4,2",rmse,loo rmse
cc_align,25,gov,1,flores,35.67993355763061,76.97804802162517,73.77186709026485,-76.6488926404853,-83.59256295292029,-12.338770776650994,-27.236269682654925,-17.745084128408447,-32.04271225926487,2.295851076169784e-07,1.687861516918104
cc_align,25,gov,1,bible,11.985279400638538,16.623487694413214,14.49025524343329,-27.29030301287956,-29.836864573783338,0.550225371080462,-4.3684125200092945,-0.39444987023376976,-7.560965993061446,7.782658423645279e-08,0.5717547404763382
cc_align,25,gov,1,gov,-11.658189313526096,99.3021147282277,112.52981192617685,7.336581310188871,10.421770668611124,-28.505498131383984,-31.376320890202074,-50.321619117025875,-20.32390607649745,1.2828583932275485e-07,0.0387249411767935
cc_align,25,gov,10,flores,87.57908100741993,67.03664507576109,47.266507383261626,-159.42607278829905,-177.4767608835497,2.6113136844974676,-26.183389138327477,19.804158671743185,-36.18439845698926,1.6009397862225653e-07,3.4622299316719274
cc_align,25,gov,10,bible,1.8805232145303927,28.5997920108656,30.69561783134375,-2.6179173041777246,-3.070809310726372,-5.016685499701074,-7.127587046080075,-18.152201937768282,-14.600149810539605,3.017156739087623e-07,0.08498340717120327
cc_align,25,gov,10,gov,-11.963451020014311,83.70422909708299,95.46369791440827,19.261707550638523,22.06474907513043,-31.42641454796195,-33.00729664106568,-33.41589471310179,-1.5041892449110914,3.6537745368721486e-07,0.2437553796742879
cc_align,25,gov,25,flores,97.20681179745564,58.42910742666117,34.9099875716119,-171.29909026089453,-191.51993260045387,6.617033355975104,-24.2199006116965,29.90544690837752,-34.62964293897184,8.943238692626118e-08,3.7205089096004094
cc_align,25,gov,25,bible,3.7822161954313467,28.91046620706488,30.466846543621628,-6.617660921970578,-7.457124535267962,-3.561665678581543,-6.307362176438903,-16.960963026345468,-15.068441945837234,3.9402582567051664e-08,0.16661388592953114
cc_align,25,gov,25,gov,-10.06574556680677,80.8797208746987,91.78731103302594,15.50072585770489,17.877960689960474,-30.509112919982027,-32.64880384892458,-27.005414212491704,3.593543671571369,2.9564325983757035e-08,0.16225163315341976
cc_align,25,gov,50,flores,28.371418943034616,1.5263855829676538,-7.032399901373556,8.910995803376379,1.7187302253878345,-7.021417827200486,-11.448249717865087,-3.3142438308844566,-17.272106724429523,5.000240527583699e-08,1.6761825495879779
cc_align,25,gov,50,bible,5.198178776134818,0.3672376893181277,-1.3554923025709542,1.4000897788986653,-0.12597110735070385,1.8796533608966768,0.7364358479647691,-1.5022593842681298,-4.6447378805975905,1.7874807754940403e-08,0.4209033136372488
cc_align,25,gov,50,gov,8.31630925271156,9.742040492047611,8.021344319684475,4.961236986363275,2.580629327616679,-12.018363446640832,-14.789171696109072,24.28182861372808,30.335840687106646,1.3898587804735409e-08,3.9857407954945696
cc_align,25,bible,1,flores,3.646208918180688,23.815456813784685,24.903138347600414,-9.394477524348149,-10.192299352381804,-4.128893341449145,-6.755143833538535,-11.759908529403303,-10.603996825650423,2.7180382826579714e-07,0.2129132751051353
cc_align,25,bible,1,bible,-42.501539067445485,100.31490594023603,122.89685411313681,73.54293188340617,82.91585067136906,-44.436786996569666,-37.451195620947225,-76.55494636006065,-20.059984548513775,4.2038439032220297e-07,1.3956269317299055
cc_align,25,bible,1,gov,4.63052739356694,17.49251217528558,17.652604912265573,-10.345664338275508,-11.40908654900638,-3.4582124562636825,-5.993783790498423,-7.205322839630772,-7.7453234320972895,2.2562071032928648e-07,0.22891798388309048
cc_align,25,bible,10,flores,15.04814176704664,22.37284771644166,19.895688974148264,-30.26698795874762,-33.454851674334414,-0.07717771650258114,-5.990186041771771,-2.967368418753011,-11.227432610389359,5.261986491298585e-08,0.6507201079040265
cc_align,25,bible,10,bible,-49.761662870083214,94.39228973179866,118.56012324599918,100.6614034585911,111.24696361566025,-49.21981262325145,-39.11237774546802,-76.15235485739431,-11.476880897039315,3.9723114290439685e-07,1.912896451377105
