train set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,15.11530594297827,-5.251106364317722e-07,-5.522964459769125e-07,4.351043592338537e-09,14.476824076277095,14.48759760700554
bible,9.490229599084085,5.2295490252966695e-05,1.0658146630799701e-09,8.014200211193304e-05,12.018263293912621,12.027097898335917
