train set,train set size,test set,c0,c1,rmse,kfold rmse
gov,1,flores,1.6265655959618708,-2.710481901126144,2.0930616420097863,2.1038674225935172
gov,1,bible,-0.8128716444941483,-1.2394929581552463,0.767834388416372,0.7697648192354586
gov,1,gov,18.79607367353271,2.8267092282437822,3.7061637864957246,3.706621940507644
gov,10,flores,6.764572658129829,-3.9861422054429956,2.855031835884006,2.8972788772263995
gov,10,bible,-0.6641863817754129,-2.4805580141564167,1.0806671933470986,1.087114116105191
gov,10,gov,34.42083386084439,2.864947400850149,3.671657916765634,3.6716579468197814
gov,25,flores,9.009672703851507,-4.074849319611172,3.3110180090714345,3.3575240927951118
gov,25,bible,-0.22646164133835728,-2.5004734461472182,1.2585137448015027,1.2634788151832221
gov,25,gov,38.24089861610755,2.865387921934291,4.371801137891578,4.372045210319009
gov,50,flores,8.069133806583984,-4.4899391325581,1.0764885748403774,1.1275928114081202
gov,50,bible,-0.5942859722170988,-2.5988370330476895,0.1788563898424626,0.18696763879741243
gov,50,gov,41.95849423482359,2.762229445662365,5.230730976744848,5.239876966548038
bible,1,flores,-0.20314947609845962,-0.9800136633937486,0.584949737714088,0.5928969402165624
bible,1,bible,16.60814491570373,3.2638829451300637,2.759633500778531,2.762564937519248
bible,1,gov,-0.7906151140147545,-1.0711269492969733,0.38083783284315537,0.39068874964935363
bible,10,flores,0.9382387218072765,-1.1858555418128216,0.9239130752873213,0.9456209552133705
bible,10,bible,26.900880100963192,3.196646131763034,3.3541879152520506,3.3548602200241504
bible,10,gov,-0.306961163823202,-1.475055420956804,0.7059625999617954,0.7240399872185731
bible,25,flores,0.8664155810340631,-1.4169786784813636,0.8130599289890241,0.8156175124077379
bible,25,bible,31.452032189347218,3.1302751588340074,3.6747706407542435,3.6750322578201136
bible,25,gov,-0.30403808626741174,-1.4597220768599457,0.7521503708364583,0.7555842409588256
