train set size,c0,c1,c2,rmse,kfold rmse
1,2.6406080044939744,-7.60487802808889e-09,-0.3273626384920405,8.217969805335407,8.201271497768877
10,4.088939120653253,-9.308937023334688e-09,-0.8217560556939508,13.680236517086248,13.66761630613025
25,4.797181594340997,-2.9407626282916007e-07,-0.7895360644529446,15.312560400706431,15.270418632434428
50,5.462797582393249,-9.609010373925016e-09,-1.0157365700601364,17.337899461967382,18.20208088450116
