train set size,test set,c0,c1,rmse,kfold rmse
1,flores,2.535052238676867,1.4205796868122413,2.364401392773742,2.3910722707123044
1,bible,8.330683025588163,0.6523792728711783,8.40156362317239,8.484220991888318
1,gov,9.516306058234278,1.2367881138644174,9.614664694929786,9.689928120718552
10,flores,5.730063889130556,-0.3412899614502898,5.394136398620952,5.463843563971158
10,bible,13.38238384931846,-0.44956503353298605,13.076832200000664,13.211969406682698
10,gov,17.570457928476213,0.9687387847902373,16.94421698451488,17.112577418265055
25,flores,7.372163657277456,-0.09039608899394423,6.474890826725677,6.556734475164528
25,bible,15.74409145864191,-0.39006578724239255,14.900047135335564,15.054490793007773
25,gov,19.56086801610168,0.9422439562095434,18.822085806465015,19.007090752893163
50,flores,6.631099967494214,-2.284367059206256,1.3507351901430826,2.683626217926719
50,bible,-0.7669134780932347,-1.2426010765243398,0.524882977577508,1.0230297773429822
50,gov,41.776663329987315,0.7105067275797265,5.327835767900808,8.369761420952356
