train set,train set size,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
gov,1,11.024790089292019,9.173414767247618,-4.252026649166187,4.75494331149299,-10.045699102222107,-33.12343516370056,2.725893748630159,8.055722603691846,8.459320226036487
gov,10,7.381373127076677,5.998451290335617,-3.592481436109956,-2.9592915540445066,1.1049235018500712,-18.599973576196607,-6.705687681362525,13.957299961999537,14.66677663701453
gov,25,7.734848814471514,6.900431287706499,-3.8034770619864138,-3.9831600596316568,3.1435181490099233,-19.653580546002885,-8.904887216291506,15.323779632435306,16.088616040093747
gov,50,8.492395644303121,1.8633973778175226,-3.815783752600667,-6.44579773807404,8.88326698350816,-2.5728539867733438,-7.7810069378396305,17.182031958494484,17.875013823957225
bible,1,13.21015558528719,7.516182084648641,-3.839422626552406,1.1693308473011692,-2.7715502702069186,-22.961295547472993,7.105169934475493,7.7424945754451855,8.012736347594522
bible,10,15.343377743319618,7.264861629356045,-4.54509415350955,-0.8326583567041471,1.9682529844694348,-19.2264212076491,5.273834438350294,12.330396046843969,12.75496492807269
bible,25,17.249393391715902,7.058800080986668,-5.208351571458624,-0.5146661647736843,2.164743562229378,-18.730288037150682,5.880498748797683,14.151701900028774,14.637006074802784
