model,pareto,rawlsian,1-flores,1-bible,1-gov,10-flores,10-bible,10-gov,25-flores,25-bible,25-gov,50-flores,50-bible,50-gov
linear,True,False,3.717795045453689,9.06953145171067,9.73481155720395,5.754776507752801,13.636923988982913,16.95162627650903,6.716008578593401,15.383206201465027,18.825645801040785,3.576200926206086,2.335950912726264,5.59646221185055
poly2,True,False,3.717795045453689,9.107509868503378,9.782041672588155,5.717350537920004,13.604032610083149,16.999514842280153,6.868550402985793,15.4918922432749,18.84679115426423,3.535230256087297,2.335950912726264,5.61358669419711
poly3,True,True,3.717795045453689,8.940448741640683,9.731324630290556,5.7900004553287845,13.874949637922509,16.974508746358495,6.716060520439912,15.401529152299805,18.81815835239445,3.618604845451984,2.335950912726264,7.114185321539774
exp,True,False,3.717795045453689,8.50856781292272,9.590156556989903,5.5129311782139,13.268341558090292,17.162704476655797,6.633111423500711,15.12678489137159,19.067705345308,4.928904878189344,2.335950912726264,6.013105898902237
log,True,False,3.717795045453689,8.936491038785128,9.699678531880666,5.623418301947581,13.56147933595056,16.956053517293153,6.660199107532471,15.467330216548785,18.824139460490677,3.5687827060468256,2.335950912726264,5.611296574085075
power,True,False,3.717795045453689,8.814752991789193,9.90599949822162,5.437394418502796,13.690671312661532,17.28397334499901,6.547326453055657,15.60230151078947,19.17774971329257,0.840116634482687,2.335950912726264,8.14451275637796
hmult,True,False,3.01695210435963,9.167114144330275,10.214695580293537,5.59157019309936,14.332321593660415,17.081484344568555,6.8037141171826345,16.495408357608895,18.827630040011574,2.3548053584986817,1.457166199626293,5.611523430723632
