model,multi factor,multi variable,overall linear,sliced linear
linear,190.26%,63.85%,63.58%,100.00%
poly2,190.12%,63.80%,63.54%,99.92%
poly3,190.06%,63.78%,63.52%,99.89%
exp,189.85%,63.71%,63.45%,99.78%
log,191.24%,64.18%,63.91%,100.52%
power,192.63%,64.65%,64.37%,101.24%
hmult,215.61%,72.36%,72.05%,113.32%
