model,mean,min,25%,50%,75%,max
linear,3.984798726813464,0.7442053737759744,1.0714144331117061,3.17429026247833,6.325674109903153,9.069415246447226
poly2,3.8886534963534753,0.7480154194380323,1.0741390280059098,2.994368612020149,6.146374966560331,8.9640620832343
poly3,3.8546487866972483,0.7489273357508851,1.07402565128474,2.9371147343426918,6.076344474306749,8.928985571187031
exp,3.816337433525113,0.742285435108953,1.055014121944713,2.927044946014397,5.9990892743412,8.847541376307978
log,3.836744899459012,0.6544782441003903,0.9385456080365822,2.8844015074862077,6.180491319898579,9.028073238758529
power,3.8742985256223146,0.740663645367341,1.0767771533172477,2.9278358117401098,6.151690778016663,8.963389184267852
mult,3.6716737842287586,0.5835288300789667,0.7944974495460555,2.6665983847370796,5.979816918082056,8.858630205473329
hmult,3.684054407976282,0.714643421750784,0.8066944860832606,2.6158954038017947,5.977622521313593,8.856066477842045
am,4.1700051005011955,0.7453433761860955,1.0770911038257807,3.266616373109734,6.659016210796913,9.604388976511178
gm,4.1608246750891995,0.7457714498329634,1.077628391968816,3.2641362743904963,6.650780023647505,9.56245034735981
hm,4.152728445729043,0.7444772427571138,1.0775055647928242,3.2551202825123653,6.6386806254019985,9.543484801340895
