model,pareto,rawlsian,gov-flores,gov-bible,gov-gov,bible-flores,bible-bible,bible-gov
linear,False,False,5.025178517717022,1.3234020072396375,9.069415246447226,0.9874185750690624,6.759172640631863,0.7442053737759744
poly2,False,False,4.662985543832525,1.3257516802077736,8.9640620832343,0.990268143938622,6.6408381074696,0.7480154194380323
poly3,False,False,4.546587166110664,1.3276423025747204,8.928985571187031,0.9894867675214132,6.586263577038778,0.7489273357508851
exp,True,True,4.5321897452916176,1.3219001467371767,8.847541376307978,0.9660521136805584,6.488055784024394,0.742285435108953
log,False,False,4.57238051188382,1.1964225030885955,9.028073238758529,0.8525866430192444,6.716528255903498,0.6544782441003903
power,False,False,4.531986380307701,1.3236852431725183,8.963389184267852,0.994474456698824,6.691592243919651,0.740663645367341
mult,True,False,4.402755881101726,0.9304408883724332,8.858630205473329,0.749182969937263,6.505503930408834,0.5835288300789667
hmult,True,False,4.391750971462577,0.8400398361410122,8.856066477842045,0.7955793693973434,6.506246371263932,0.714643421750784
am,False,False,5.208988645900339,1.3242441003191296,9.604388976511178,0.9947067716613311,7.142358732429104,0.7453433761860955
gm,False,False,5.20428448847211,1.3239880603088825,9.56245034735981,0.9955085025221274,7.132945202039304,0.7457714498329634
hm,False,False,5.186975996091012,1.3232645689337188,9.543484801340895,0.9955858967458594,7.1225821685056605,0.7444772427571138
