train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
1,flores,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.3207346840895235,0.02626724543221167,-1.0735949691342287e-09,8.79167805236934,9.22576755720367
1,gov,7.513644650972477,-2.7949486798917846e-09,-0.0902716091738435,9.919576053622762,9.795446961850372
10,flores,4.097217022611741,-8.223818114434045e-10,-0.0656148175342506,6.162036485605083,5.718227542996829
10,bible,12.339019786002849,6.461653375468217e-05,-2.81984618507777e-11,13.314846779973324,13.822247808934762
10,gov,12.904656887111036,4.212659204911148,-1.4863564187741266e-09,17.22162748311436,16.956534276518887
25,flores,5.947507493081434,3.207192587315762e-07,-4.650222401116128e-10,6.941683368477258,6.910316992824646
25,bible,14.526604679084702,0.000548504095432779,-5.93297699335804e-09,15.126347108089423,15.59801325734971
25,gov,18.49459737138592,-4.3541150961699585e-09,0.003931464915406026,18.88657182152264,18.940436026653447
50,flores,10.687640304335678,-1.3639998948285944e-09,0.13302746944639274,4.879892538095811,3.7646292291516543
50,bible,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.98702744808879,1.83694444735009e-10,-6.541898144294844e-05,5.829876014048386,5.409021929352574
