model,multi factor,multi variable,overall linear,sliced linear
linear,288.37%,96.78%,96.74%,100.00%
poly2,288.37%,96.78%,96.74%,100.00%
poly3,288.37%,96.78%,96.74%,100.00%
exp,288.37%,96.78%,96.74%,100.00%
log,288.37%,96.78%,96.74%,100.00%
power,288.37%,96.78%,96.74%,100.00%
hmult,288.37%,96.78%,96.74%,100.00%
