model,pareto,rawlsian,gov-1k-flores,gov-1k-bible,gov-1k-gov,gov-10k-flores,gov-10k-bible,gov-10k-gov,gov-25k-flores,gov-25k-bible,gov-25k-gov,gov-50k-flores,gov-50k-bible,gov-50k-gov,bible-1k-flores,bible-1k-bible,bible-1k-gov,bible-10k-flores,bible-10k-bible,bible-10k-gov,bible-25k-flores,bible-25k-bible,bible-25k-gov
linear,True,True,2.260356553064526,0.7950202657632326,2.8262683886526534,3.1113351319536413,1.2988399641097623,2.2514880236587107,3.4082015713719604,1.4740943144634566,2.446379534965596,3.419801403661561,0.9546712960544856,3.3631219934602257,0.5664569184792212,2.7162927772802363,0.4049805051505978,0.8404327260988993,2.7486606704090333,0.7102665698343567,0.8589240713055725,2.9048072738530086,0.8140974595997932
poly2,True,False,1.936606162871065,0.8006494340267529,2.265187090573899,2.940634270229492,1.296020293517526,2.138182195845039,3.252705000471972,1.436474024238159,2.387737448425331,3.6368571444184887,0.8976708546088755,3.491709871985829,0.5661828379130467,2.390363023753692,0.4070413006133632,0.836517727105306,2.731814086713723,0.7094619633184276,0.8586823573031328,2.8911649282177696,0.814626051084271
poly3,True,False,1.6884403517971758,0.8013268950576377,2.1144761362523705,2.8558453944585382,1.2569617283482213,2.0075414830982288,3.2583682619579277,1.383372861034268,2.182355910353524,3.770670418152589,0.925959777656617,3.728740388005122,0.5717398470998867,2.396339959925867,0.4086486860389168,0.8404562510761859,2.691076385547041,0.7151515277409709,0.8615127072244866,2.9071986068236164,0.8140305409907199
exp,True,False,2.49980492959491,0.8174307708776718,4.27132976579797,4.525445764535976,1.291899478600428,2.6017383815606783,5.991271005709514,1.3926632766332836,2.7131462067731498,4.714694635745332,0.8950035357851439,9.113364411880646,0.5632905270485092,2.7763532902566888,0.3977082456083717,0.8348480062323123,2.3590794687154317,0.7098595184756513,0.819291740342736,2.9743286461558878,0.8187312033483417
log,True,False,1.8460986302184492,0.6917147178288494,3.042783944651988,2.325286470011502,1.1405185703937777,2.604767384415504,2.5742162491662643,1.2425765437130516,2.8472153453987774,2.030036894941213,0.7004782901938459,6.360804533874744,0.4871433868857425,3.0195832193933443,0.3572826080700786,0.661707833682833,3.263149489874275,0.6272586400345737,0.6403388188238661,3.1526304688311697,0.6995156886077949
power,True,False,1.8380432690724475,0.8173636096435171,2.2129129369496177,1.6261345339029654,1.2946478629531442,2.305175504708717,1.814145564719904,1.0025659565170748,2.9391206621914896,2.6356842534657563,0.8598827738977963,9.739029196492366,0.5659416383350139,2.193698796914158,0.3943896071922156,0.8478929697099163,3.1769054889084343,0.7019286946323301,0.8742911222338627,3.384409114679655,0.8174759367912883
mult,True,False,1.110272790344597,0.5234890762024142,10.42076765368468,1.0384076919853464,0.7943794257876464,12.60371695441854,0.986014119955966,0.873541331797574,16.141234984431872,2.8165289817602708,0.6155464517295859,7.289852324543545,0.4373571332706539,8.164102250739601,0.3936141447770245,0.4717359635079905,11.100770809715458,0.5171310097869579,0.430842254367642,9.778152336974252,0.5203965303251261
hmult,True,False,0.8718666012724302,0.6908829833974837,11.033911771972075,1.299272845324318,0.7827713314450825,14.187892282395271,1.2992939644745332,0.8314761600477295,15.35899906467981,2.6931266020474944,0.7005973415443848,7.784862403062971,0.5321701334993914,7.907643736286031,0.3980933077378972,0.5649799859845326,11.946720273105106,0.6230868878533536,0.5261537653884234,14.084295054969838,0.5418070446802561
am,True,False,2.288844617686097,0.8195023997071992,3.710716161399685,3.4337220224854645,1.2959240013915472,3.4581756596152124,3.846721700307504,1.4620646364167658,4.144832521709451,2.8022358399950105,0.9733429646813528,6.048346890742994,0.5742805736778755,3.167028232643561,0.3976369530587688,0.8492284613266687,3.662750974006967,0.7134018314488658,0.8762709197285922,3.8191364887861807,0.8193089158632609
gm,True,False,2.2878194936337755,0.8180378593951293,3.651990636661396,3.387512571634357,1.2960450102129344,3.416608237390416,3.797383997284284,1.4619520101666177,4.108140034379494,2.803719717114156,0.9733568873451962,6.110091679845315,0.5728065245092756,3.151804642695903,0.398612980788373,0.8468516250928273,3.6535884967463694,0.7162061416547145,0.8763769989993409,3.800972012323656,0.8267663968318845
hm,True,False,2.2871508763519968,0.8182030498339523,3.66287369974612,3.297707844549365,1.295674007215523,3.421352815365625,3.665759498040201,1.4622438300431777,4.119201748205273,2.848320801397444,0.9683740062975176,6.183115437496216,0.575963212157132,3.1444582132529177,0.3964954681496395,0.8486494044413456,3.6501229461533513,0.7074289788897334,0.8766432317608901,3.794771835420852,0.8188496121867728
