,models,Normality Pearson p-value,Normality Shapiro p-value,AIC of model,BIC of model,LogLikelyhood,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value,Normal Test,Homoscedasticity Test
0,linear,0.12677486980145874,0.00035063401446677744,172.56586485521024,176.6549097306571,-85.28293242760512,-0.02471462297654381,1.9862695787664762e-06,1.78477256767598e-10,X,X
1,poly2,0.12610082649869953,0.0003457651473581791,172.73836519340432,176.82741006885118,-85.36918259670216,-0.033166604205608685,1.9453937401976126e-06,1.5219760276882716e-10,X,X
2,poly3,0.12678426212995214,0.0003507501969579607,172.7901159323337,176.87916080778055,-85.39505796616685,-0.0357157979886602,1.9868018840013542e-06,1.7894745418393287e-10,X,X
3,exp,0.05140082931040834,0.0002672522678039968,156.09854577964134,160.1875906550882,-77.04927288982067,0.5322137854738939,2.5383388967582374e-05,6.354542156710701e-10,X,X
4,log,0.01895381113033625,0.0004707959888037294,141.7158260561886,145.80487093163546,-69.8579130280943,0.7641679333878205,0.005509471535188878,1.7120884786047648e-07,X,X
5,power,0.8975541939727604,0.07565544545650482,122.50815946678443,126.59720434223128,-60.25407973339222,0.9055123460807615,0.4696171496960374,0.5570470949027904,not F,not F
6,mult,0.8975541939727604,0.07565544545650482,122.50815946678443,126.59720434223128,-60.25407973339222,0.9055123460807615,0.4696171496960374,0.5570470949027904,not F,not F
7,hybrid_mult,0.8973561452292735,0.06657928973436356,122.24314170084254,126.33218657628939,-60.12157085042127,0.9066972776400198,0.4333100599334586,0.4900481413728621,not F,not F
