train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.41964179023502,5.420410718252314e-06,-2.7692434805773286e-06,-5.964994752594559e-07,-3.1270790798181662e-09,1.7117400314192717e-06,4.639425170016878e-06,8.766719926484686,9.11111090961549
1,gov,8.159886740332665,-2.7714860101786823e-08,9.4667457410466e-09,-3.874461242142542e-08,-2.178699421437737e-08,2.6048472443356106e-07,-1.7518322502736628e-08,9.779682606223666,9.817064716867419
10,flores,4.557769942948307,-2.8613556769847806e-09,-2.4301534213147006e-06,-9.120757975530311e-07,-2.025750914591141e-06,2.8152034987547398e-06,3.456850465333882e-07,5.946895111774444,5.916780246529064
10,bible,10.878606515217495,-2.0888581667307064e-09,0.00010881120085189982,-0.0004323040416416007,0.011886789408723763,-0.0800982268824818,0.016139722663747996,13.666513275498861,13.550403134067961
10,gov,15.457684417067622,1.4037869254627887e-07,-1.1506798795625433e-07,-3.892564853770897e-07,1.1326501642448572e-08,5.507756045625785e-08,-1.3686577913723289e-07,17.14044654087341,16.959301385185857
25,flores,5.852631498264324,-1.2521015346391815e-09,-2.2563486902694527e-06,-4.541689626997375e-06,-3.2574298496523794e-06,-1.5210050821478334e-07,1.5742097258060791e-07,6.976448722972819,6.553535467310855
25,bible,14.440070384072424,-0.00016664988622046742,-0.00014687421390807936,-0.007564867130216246,3.4466470157071724e-13,0.0030121972373562643,0.007866079533273937,15.141646102570412,15.428744279882466
25,gov,17.52944238220711,4.0160863596729754e-05,-3.9613282148289846e-09,-1.2523875029600401e-06,1.0627295313045575e-05,1.4920337911911655e-06,7.154144207231727e-07,18.989490511240508,18.8259931007476
50,flores,11.699626933894773,4.132391611205917e-08,-3.4419857176866743e-08,4.3333120052292645e-08,8.727945431425152e-08,3.710513098523125e-07,1.9262476970779566e-07,4.235390361619154,3.5658982699771684
50,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,40.05437918913103,0.004485732796607181,-0.0016606708629028997,0.004063362959322201,-2.1310223445912474e-09,0.011064110475809,-0.0011082946146525646,5.801134756264902,5.6273635147554195
