,models,Normality Pearson p-value,Normality Shapiro p-value,AIC of model,BIC of model,LogLikelyhood,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value,Normal Test,Homoscedasticity Test
0,linear,0.3040901369918054,0.1965472400188446,168.26207157026747,172.35111644571433,-83.13103578513373,0.0016272562237231725,0.20334504596900815,0.21635658154552803,not F,not F
1,poly2,0.11365844015170247,0.06266570091247559,168.8534157429673,172.94246061841415,-83.42670787148364,-0.026885735897108853,0.9417420046527073,0.7254305506591088,not F,not F
2,poly3,0.027249185080767773,0.01937430538237095,167.67598986166718,171.76503473711404,-82.83799493083359,0.029105273747136007,0.8939459695319115,0.5461538541419498,X,not F
3,exp,0.22790245279296853,0.05826188623905182,167.74450133156938,171.83354620701624,-82.87225066578469,0.02593260480297732,0.029556194297931406,0.04459632361286066,not F,X
4,log,0.027815840286768177,0.021742628887295723,167.71503638811404,171.8040812635609,-82.85751819405702,0.027298353144269982,0.764161136529383,0.415643674410186,X,not F
5,power,0.09024027127115716,0.09372416138648987,167.49364801663216,171.58269289207902,-82.74682400831608,0.037499005366568694,0.6059095586757693,0.3425891556268977,not F,not F
6,mult,0.09024027127115716,0.09372416138648987,167.49364801663216,171.58269289207902,-82.74682400831608,0.037499005366568694,0.6059095586757693,0.3425891556268977,not F,not F
7,hybrid_mult,0.192970120938527,0.16969576478004456,168.00305355142552,172.09209842687238,-83.00152677571276,0.013865745616944425,0.3232059416387407,0.2560642871593435,not F,not F
8,scaling,0.04970519843849854,0.04122932627797127,167.64682247331532,171.73586734876218,-82.82341123665766,0.030452835963558078,0.8877876172877033,0.4907447652722481,X,not F
