model,pareto,rawlsian,gov-ka,gov-gu,gov-hi,gov-si,gov-ta,bible-ka,bible-gu,bible-hi,bible-si,bible-ta
linear,False,False,11.374044277381342,12.073849833887571,12.327843604276962,17.867929068551458,14.716037533065238,10.32406605623916,10.157789099745983,12.086726630476546,15.039567703341357,11.885691454172322
poly2,False,False,11.274426197184432,12.159425464972593,12.281205380289444,17.892154507723827,14.781839879926173,10.435815455879554,10.29058793964217,12.253992965069298,15.249287700320751,12.045763392591605
poly3,False,False,11.279742514620075,12.16137421982451,12.43995446273895,18.12991830406848,14.974933881049608,10.444773223793076,10.292085570984687,12.262045739283018,15.258691206355827,12.054796995039784
exp,False,False,11.493967586799767,12.11333353755301,12.36537943940436,17.90339143793843,14.743367719823306,10.34244019166692,10.160643665074868,12.079421771533042,15.029031575217886,11.884997611795864
log,True,True,11.045927278307111,11.91438692967046,12.082584972879015,17.613916258600927,14.55401811723426,10.220412730281186,10.079832087213608,12.00959055405666,14.940962971840248,11.801600184069414
power,True,False,11.144281190230869,11.9249992356143,12.112100183483085,17.654920076560607,14.579622845543634,10.327417148419912,10.075893387796564,12.00046854841204,14.929492820881032,11.798990902382863
hmult,False,False,11.284094403191748,12.011112968742076,12.214030625630196,17.75085618174226,14.631587802927427,10.252998447756235,10.093697001418352,12.010331217436995,14.94333553455496,11.809639042952414
scaling,False,False,11.088924585446115,11.93995509652791,12.1004168280339,17.642039260061036,14.636852789863742,10.328087548339075,10.085504583572485,12.022112153703937,14.952840660151312,11.81782632547432
