train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.373404437929406,0.0014932112288209532,-4.303345703155811e-10,0.00103661113972615,8.779734656024083,9.03477139659742
1,gov,6.013569558146144,-9.530713133863123e-10,1.6165875933329394,0.14526865690157229,10.006757021837391,9.730334870893872
10,flores,4.378742389860873,-0.00014752985801882616,-9.377037682071708e-10,-0.00016656883691305792,6.02445594385063,5.719727128237384
10,bible,10.236098263791893,-4.599746785116135e-09,2.904322878278298,0.006828699579308668,13.329246036385518,13.631648127979464
10,gov,16.39870515402444,-0.008552279633863636,1.6912245256192306e-08,0.039598146483917185,17.02462311846401,16.924939099134072
25,flores,4.670447956959863,-1.594961857600502e-08,-2.0174113921668734e-09,-0.011912925646248922,7.497934143653813,6.727774798971416
25,bible,12.000897882884317,2.9404656989976583e-09,3.3903353312059568,0.014606199983123326,15.155065490045299,15.45145242483306
25,gov,15.303415576890071,-4.307133526274824e-10,4.567215010746645,-0.004870220411163812,18.867316487740446,18.828432160305905
50,flores,11.68142849417214,-3.3274841519613162e-09,2.0758996512535613e-05,0.00018682055246027862,4.2461412767591895,3.437252066604082
50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,40.0758765673379,-1.7988093445257463e-09,0.005058211292671233,-0.00012556620346304036,5.792984004537932,5.343001093387581
