train set,test set,language to,c0,c1,rmse,kfold rmse
gov,flores,ka,2.381573389017764,3.813353050246484,0.46476681461375935,0.8199667567749657
gov,flores,gu,7.825809023255545,3.7712071568730163,0.06606242139837894,0.11655089760225516
gov,flores,hi,6.7628407543655955,3.185317028669188,0.24446678359688806,0.2987459987378858
gov,flores,si,3.913963520521852,2.220192040980541,0.2180734969111715,0.3166908625803071
gov,flores,ta,2.422359152274697,2.1530288868947256,0.3321368142057733,0.48174244086267354
gov,bible,ka,0.33548151587937747,0.45161153718708963,0.09082074503861993,0.1602308715158223
gov,bible,gu,2.2842104666741103,0.7692472449097322,0.04041589279010496,0.0713039044338937
gov,bible,hi,1.164770140702234,0.6615710043907791,0.2698413028387485,0.38217715447347317
gov,bible,si,0.18152237710827282,0.32585103409968297,0.03237002737662968,0.04661955576924463
gov,bible,ta,0.228504625774726,0.3271306255456794,0.10828878331479375,0.12914748376626708
gov,gov,ka,12.491126873558663,7.158724826469261,1.2571196263276434,2.217878451013244
gov,gov,gu,22.717122454921565,4.808262349188282,0.2997940886297607,0.5289129490846123
gov,gov,hi,20.445398827569427,4.507179433133614,1.1442508650570855,1.5574810251623876
gov,gov,si,22.706019205668035,7.322419128435597,1.5424066741168276,2.096593880604056
gov,gov,ta,20.430271171879664,5.488843330155471,1.0905022561008977,1.3800721659479247
bible,flores,ka,0.5149994327269879,0.5351847537776524,0.03839350290335471,0.04845407840859667
bible,flores,gu,2.0404374302268353,0.7024749003089941,0.10350622434602985,0.18261128035477114
bible,flores,hi,1.512521474373584,0.4097530726762511,0.03205076324964991,0.040449296837101266
bible,flores,si,0.8202187158177632,0.3512374499062052,0.05175311217301498,0.06531441951083462
bible,flores,ta,0.7895614338184496,0.3678946077428941,0.026719218539320213,0.033720682204475924
bible,bible,ka,12.37107069107022,4.9419507506065745,0.18191706007069303,0.22958633169562997
bible,bible,gu,16.295151741176678,3.7878643146726882,0.012409909313957277,0.021894233349021314
bible,bible,hi,18.54635864856371,4.230931704725017,0.13730380748897475,0.17328268979823608
bible,bible,si,21.6912894058657,5.293188201857528,0.23367017224370965,0.29490075120646264
bible,bible,ta,16.263967725696755,4.674142804691841,0.09223049995079197,0.11639844083852179
bible,gov,ka,0.2998683165502132,0.21740533312874694,0.0003370649811250413,0.00042538897962339403
bible,gov,gu,1.197126991528051,0.5267843181820423,0.007353934597080051,0.012974209241065196
bible,gov,hi,1.040700800196743,0.26766423297064795,0.10418035430828008,0.13147961698091618
bible,gov,si,0.40756555801802774,0.15888971034962682,0.01936528394223995,0.024439733694110094
bible,gov,ta,0.3075655580180277,0.15888971034962682,0.01936528394223995,0.024439733694110094
