train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,3.3810654814275227,-5.789926839000452e-10,2.7885769177012145,0.021363700815591517,8.913683790308848,9.107986717506948
1,gov,4.053219239755342,-1.6395665312519302e-09,3.3097888432492724,8.806385051810822e-06,10.029184374655243,9.814573971000348
10,flores,2.574445883630384,4.4208927684850106e-06,2.0824734160139586,-3.592397652175539e-10,5.979391670822575,5.742560324240118
10,bible,7.126564393740757,-2.1076715726125104e-09,5.870725037241759,-0.014009334086242753,13.291901789403358,13.767650822940762
10,gov,7.522432914008171,2.4465922827470488,6.70596519056698,-2.1344831751083065e-09,17.195657167703846,16.978802656313995
25,flores,3.6562894550051355,5.297118256734242e-06,2.0475673484214183,-5.822374478411302e-09,7.101251937709172,6.840469057370455
25,bible,8.194699660825886,7.454600206338984e-09,6.744860560668815,-0.00025958355661664814,15.155412483651505,15.47174816017403
25,gov,9.648765758399398,-3.2578881688666866e-09,7.88782751919697,-0.0008859587918553579,19.0845082926681,18.91806375294659
50,flores,6.642512955507569,2.0169401855521423e-06,5.365651580699563,-7.167218464777074e-11,4.3918312448224,3.616000530329911
50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,35.73898882497041,-1.9133438581885098e-09,4.123959076143486,0.0007313633755128323,6.039637394264315,5.693627142474862
