train set size,test set,c0,c1,rmse,kfold rmse
1,flores,2.809540880459515,-1.0958743191754125e-09,2.3759095358968914,2.3899470408713697
1,bible,8.869934125779318,1.242994063410484e-05,8.40274394066906,8.457192475168213
1,gov,9.841777997256074,7.436854293239246e-08,9.625550652015383,9.67934767920791
10,flores,7.011211602176647,-8.032399066188116e-09,5.395070000232869,5.4284456821532725
10,bible,14.792223287420168,-3.3102623082423966e-09,13.077946421914632,13.168442696750025
10,gov,15.25077646023226,5.177698090451455,16.938261928557715,17.05942865493481
25,flores,8.404556128193306,-1.8546940425678222e-08,6.475072597621453,6.507097821856417
25,bible,17.07953072460957,8.276761476354546e-09,14.900759952001732,15.007024557668927
25,gov,15.34397689766148,8.795221358926895,18.81077184336239,18.95400424388143
50,flores,32.68642195362396,-34.48472863639884,2.1321101304519625,2.848320801397444
50,bible,2.116676159629038,-3.3144486963083606e-09,0.8744834320821361,0.9683740062975175
50,gov,17.228949598078174,46.610595646661224,4.792240059818229,6.183115437496216
