train set,train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,1,flores,11.550881612903428,-2.3482003372999635e-09,-8.07794740932247e-05,-8.356643144440017,1.474887121475094,1.5810631491526994
gov,1,bible,0.7707326013051752,0.0001717192330451793,-3.076519827775571e-09,-6.2829211796939845e-09,0.7949959376955684,0.8202982675608343
gov,1,gov,31.67625373468573,4.238674583967436e-06,-4.562950653596794e-08,-15.03088827519,2.700002499219777,3.108872713126021
gov,10,flores,19.732737413272037,9.58118476290005e-10,-3.17687419302287e-07,-9.485304694559456,2.9168323006878016,3.1943230502152966
gov,10,bible,1.9918442991343033,2.6500376648004574e-06,-1.2490231909095801e-11,7.913935322543521e-07,1.257266482960938,1.2637051673943205
gov,10,gov,40.554940478977876,1.7106273622485293e-09,-0.0009752512427965276,-7.022656984552697,3.452941428539446,3.6781346165526805
gov,25,flores,24.02317953426657,0.022062009810291716,-3.240440400877769e-09,-11.734992592237983,3.2808339037212435,3.5913368697132
gov,25,bible,3.226992530087611,1.9778524337236246e-07,-8.782341591864307e-09,-0.9300008224113708,1.352147422455336,1.423761926408877
gov,25,gov,42.555614522182374,-3.964734869762357e-09,0.1661168748197326,-4.987125304612247,4.221636323850551,4.3699459102311495
gov,50,flores,22.721542569870753,0.001544661326377137,3.997303695355527e-10,-10.446419427644727,2.827690912131668,3.9337648972692065
gov,50,bible,1.4120821860649264,0.6688261462012951,-7.740292911865954e-10,-1.3495089701103904e-05,0.8974824327035923,0.9753360765806044
gov,50,gov,44.67303328030639,7.353847793741446e-06,1.0601509588850266e-06,-2.9170113160942788,5.2740443404892865,6.6524472213978205
bible,1,flores,1.0424583493247472,1.3725914256206404e-10,0.006108087148322019,-0.005762876888515266,0.5544108304131902,0.5712378107604181
bible,1,bible,26.61172867024755,-2.471158360958768e-06,-9.174197982163936e-09,-11.5139654345568,2.2151861303326155,2.42342464178485
bible,1,gov,0.5893660119020409,-1.870442269309881e-09,-3.054081563683728e-07,-6.478764253259323e-06,0.3859583972115727,0.4011239929170243
bible,10,flores,2.096791211206152,-2.761728505560686e-09,-0.005504431296643804,0.03553870226649523,0.8406355899837696,0.8507208530925929
bible,10,bible,35.07562647877716,6.400451255091286e-10,0.7253602103342188,-9.71455106325003,3.150948191999662,3.416964386680722
bible,10,gov,1.2352106937569078,-4.585197456770351e-09,0.005539788285668093,0.0005995783966766282,0.6841497178000945,0.7021250323148863
bible,25,flores,2.570001502226775,4.388789133712972e-07,-2.850768085545055e-08,1.6245065685277926e-08,0.8509405546377874,0.8726197758762556
bible,25,bible,37.1410067237463,-0.0018476999123819933,-8.602745298833215e-09,-6.4970827507012,3.4483082998972003,3.658950004230212
bible,25,gov,1.4296157908662495,7.477098882739269e-07,-1.3946443824352884e-08,-9.268414705498166e-09,0.7950714005872141,0.816895352297894
