model,multi factor,multi variable,overall linear,sliced linear
linear,240.61%,83.21%,83.21%,100.00%
poly2,252.25%,87.24%,87.24%,104.84%
poly3,559.52%,193.51%,193.51%,232.54%
exp,241.49%,83.52%,83.52%,100.37%
log,243.62%,84.26%,84.26%,101.25%
power,242.87%,83.99%,83.99%,100.94%
hmult,240.46%,83.16%,83.16%,99.94%
scaling,243.54%,84.23%,84.23%,101.22%
