train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.419569019859013,2.1602467618714798e-07,1.9570472016395204e-08,4.217408044051495e-09,3.4453785484891964e-08,8.766741383879783,9.035522292763744
1,gov,7.455541169270886,-3.6570832350783075e-09,0.0016965919669868698,0.001594084943533747,0.005936223630926289,9.9278634225378,9.73796503477013
10,flores,4.609435637581602,3.147970332119951e-07,3.2065803016133994e-05,-5.012093895531126e-05,-5.84998331651276e-11,5.925347207259407,5.715452723212288
10,bible,11.977636557410797,0.9383027451092022,0.6184881514100801,-6.465329162751095e-09,0.05270115883897004,13.269734657956885,13.627970728598076
10,gov,15.605503532631374,-3.406151443396191e-09,0.07159778477320415,0.00040399165109037896,-0.0006281386670261041,17.116450475755776,16.954550842699753
25,flores,5.950060262941939,1.2407828390776503e-07,1.3962905802014257e-06,7.259569046664242e-11,9.968725311797324e-08,6.940763410852304,6.950036946883413
25,bible,14.559018767019905,-6.538836303881823e-10,-0.057549659189799825,0.052066129191334735,0.0015777696080525841,15.119226030789765,15.57914215429619
25,gov,17.53057468990931,-2.0991785696699787e-07,5.788543927324699e-07,3.0846703960538303e-06,2.1886903973390978e-08,18.989344893600073,18.825531569121967
50,flores,11.70120867670746,1.1533533850870538e-10,5.822527552258001e-07,9.745378594890866e-08,2.9597216130404764e-07,4.23445672728264,3.5827164535211176
50,bible,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,40.516737008565805,-6.562664877778312e-09,0.1203000260366465,-4.337830950157447e-05,0.12674630717872895,5.618611928078179,5.617839171153153
