train set,train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
gov,1,flores,12.006386257560953,3.011456057288075e-08,-8.415873202112234,1.652236120349014,1.8181361279224078
gov,1,bible,0.7702254362089918,-4.687863165974849e-09,-2.2422416388462484e-07,0.7950330241557866,0.8211109914495107
gov,1,gov,35.01689230001207,1.3518371498825303e-07,-17.976503437205604,2.7998305898070153,3.1144013886590574
gov,10,flores,20.721669231181476,-2.8926083415581314e-08,-10.080909676876807,3.0091835360402324,3.2450250482872924
gov,10,bible,1.9885052154446101,0.0005549181229151384,-5.463487446724279e-09,1.2573932455119523,1.2753927663238915
gov,10,gov,40.69122738947001,-5.480483087244049e-09,-6.7506401300296615,3.5272165804513143,3.6755001413537443
gov,25,flores,25.41515418302352,5.492526802436914e-07,-12.624102322997965,3.374950335768435,3.660193389246845
gov,25,bible,2.447983049654747,-3.0460293798112435e-10,-2.9962290401219214e-05,1.4194026811719949,1.4352309680870996
gov,25,gov,47.25808274240149,-7.899470262448041e-09,-9.845582636721884,4.1492857128175,4.371077917131664
gov,50,flores,23.947556399628805,9.050508591023366e-07,-11.218822639399763,2.92879386824887,3.818768026026271
gov,50,bible,2.134135899886819,-9.584137743992962e-10,0.0006065439106086434,0.8736645974758671,0.9750849944874725
gov,50,gov,42.521445652255856,8.320273725232062e-09,-0.270897982488736,5.332217742892574,6.619981619146723
bible,1,flores,1.1355834250148835,-9.138332904615483e-11,-0.00041094229582640766,0.5493653354093162,0.5742304465724848
bible,1,bible,28.722771180980207,2.921184008469016e-09,-13.257955728610462,2.324015471814567,2.5650333747144245
bible,1,gov,0.5899373633488156,1.3351190488668423e-06,-5.010730365896632e-10,0.38588363306239093,0.40184097487637727
bible,10,flores,2.1016208478646603,-1.6523079446523392e-09,0.04699774572118303,0.83693491594994,0.8484906881544114
bible,10,bible,34.96374306753657,1.0008948491908036e-07,-8.32254869686455,3.2610740366000375,3.446509434427413
bible,10,gov,1.301785619526767,-3.0693744442397714e-09,0.006638216871812459,0.6816260856576043,0.7104131768288209
bible,25,flores,2.4532419962118954,-7.854143835172393e-10,0.07369443132581024,0.8589336144327198,0.8841811300594596
bible,25,bible,37.68740533977502,-2.9748465922918956e-09,-6.746569756443257,3.508567506042026,3.6719799965763413
bible,25,gov,1.3717862447950129,-2.5112093962181264e-09,-0.0052110335213482305,0.801168899051486,0.8196659604153866
