,mean,std,min,25%,50%,75%,max
linear,3.82550989358925,4.967034952482766,4.1023203976182695e-15,0.5242455477452083,1.9428193457801606,5.219895370437572,101.66577970769592
poly2,10.987446181652764,30.10543423169193,0.0001812172804516,0.5564953963233027,1.9428193457799279,7.940443177597919,518.8619065248441
poly3,89.91556398335241,352.24494511499574,0.0010051808708182,0.5759824684874165,1.9428193457798726,6.600095074310675,5518.346224172757
exp,7.798614939552491,90.03438686929559,0.0007919937132485,0.6020221718179304,1.9524175899994805,4.435706714058458,3292.13088002626
log,3.2673446224009464,3.5578043806133226,0.0005946682738653,0.45839393538120643,1.942819345672635,3.5033220251481065,79.51771380468442
power,8.11026560318918,104.70935456088274,0.000399072544687,0.4879492302959638,1.8825279851041423,3.334219150477188,4466.378884088651
mult,6.304658619360244,86.49812703098038,0.000399072544687,0.31679936731683367,1.8583503387593017,3.807003862337897,4466.378884088651
hybrid_mult,5.01529051205997,23.44756693197809,0.0001829219186249,0.49135186778112366,1.8011282171770313,3.5844433929900745,696.9319315836193
am,4.194275920023549,4.918625704718979,4.1023203976182695e-15,0.9463068515394522,2.1112017996940993,4.952307313722239,101.66577970769592
gm,4.182174592688538,4.9085515432077464,9.173067274558416e-15,0.8703008210806573,2.1325549183269477,4.249296154699996,101.66577970326225
hm,4.208884767178062,4.893500538227082,4.1023203976182695e-15,0.87030081739644,2.1982790682802795,4.2892751916968335,101.66577970769592
