,mean,std,min,25%,50%,75%,max
linear,6.728246291608973,1.893714109253961,0.0058299212849788,0.9138336057181758,8.611164645879853,13.84961195073718,23.110290702501125
poly2,6.7990540605179834,1.8481116672170854,0.0001812172804516,0.7645739505648895,8.52764134555098,13.792500606323792,25.18937546357152
poly3,6.855489918181969,1.890520535559816,0.0010051808708182,0.7679063942866553,8.853486721182488,13.789314228047495,26.397940493508266
exp,7.302906217349896,3.1723799604056757,0.0007919937132485,0.9486759077417164,10.514502022944203,13.850041321161063,103.94664315918054
log,6.755950888662271,1.8993224216753808,0.0007948033173116,0.8621897983314073,8.26497869369117,13.854066067456234,20.098608359181213
power,6.739429082064372,2.7192212552854778,0.0007505097481833,0.8785332197852593,6.961517804650124,13.847043697383883,72.89290047238387
mult,6.85723131962651,2.856754554918999,0.0011734269886431,0.7713833591601573,7.115746874193759,13.850113672999345,114.68686406958363
hybrid_mult,6.875950107514332,7.44772970325076,0.0038413933572771,0.7626423606199755,6.869593692446168,13.84516338078497,214.4797415475559
am,6.819086436348345,1.8284383389946237,0.0058299212849788,0.9718090310707458,6.992928492003276,13.895841508887413,23.110290702501125
gm,6.826645899592583,1.806462242233948,0.0058299212849788,0.9749545811213506,6.991252152697523,13.901276699610086,23.110290702501125
hm,6.84584220018129,1.7805448342203487,0.0058299212849552,0.9908686314778753,6.989566721005221,13.905666073135073,23.11029070250113
