model,multi factor,multi variable,overall linear,sliced linear
linear,101.23%,99.51%,100.00%,100.00%
poly2,100.60%,98.89%,99.38%,99.38%
poly3,101.48%,99.76%,100.25%,100.25%
exp,101.15%,99.43%,99.92%,99.92%
log,101.25%,99.53%,100.02%,100.02%
power,101.20%,99.48%,99.97%,99.97%
hmult,101.22%,99.50%,99.99%,99.99%
