test set,language to,c0,c1,rmse,kfold rmse
flores,ka,2.1428583866286295,0.2714285015412713,4.731480174799107,5.0807361652479
flores,gu,5.571433060453356,0.28571405600857847,6.204510613660729,6.6780186005588895
flores,hi,4.160724449392913,0.28217145443607283,5.2743604985987975,5.386288541154644
flores,si,2.4680973852386128,0.19158453860845376,3.3862265203398016,3.4530143980897785
flores,ta,1.6509786908703266,0.18437008553889148,2.509582534506285,2.5632477046494064
bible,ka,7.162586538403625,0.3420068243563102,10.702203895214646,11.51148938824573
bible,gu,9.890475687011673,0.29523824624966266,10.059643562605874,10.811537350805793
bible,hi,14.365862557311274,-0.09025436315403743,12.201161454084387,12.765155976025323
bible,si,16.474861198010462,-0.14404936279808755,15.622620496167125,16.298285107315998
bible,ta,12.82371575293117,-0.09439356133771615,12.422368784455719,12.982148273053744
gov,ka,7.7476242853401365,0.44880935862395505,13.57967009794237,14.57013851348035
gov,gu,12.761564161079805,0.33792511737776115,15.05884517746824,16.173072398734515
gov,hi,9.873865763964341,0.4871554942600882,13.369520701778772,13.694124512094865
gov,si,10.664495610621065,0.7131025879154261,17.73339019036754,18.14595643147855
gov,ta,9.37285755790695,0.5683608988094336,14.764147270513352,15.127154359416794
