train set 1,train set 2,test set,language to,c0,c1,c2,rmse,loo rmse
cc_align,gov,flores,ka,7.657860773160974,0.0011260939550589756,0.027608285226125774,2.041349378625151,2.6586123580548904
cc_align,gov,flores,gu,12.466034453146317,0.0006732733210564527,0.020483569521590743,2.435752078291336,2.9101432764833675
cc_align,gov,flores,hi,12.088922786440403,0.0012795555649852224,0.010458593063963673,2.2321107648122953,2.4224948498495626
cc_align,gov,flores,si,8.404522639773825,0.0014422437431753843,0.009808982509032454,1.7357146309686846,1.9625185555424756
cc_align,gov,flores,ta,6.394086988956349,0.002166123888030497,0.013415088153910244,1.6186033483611322,1.97261540453667
cc_align,gov,bible,ka,0.9276244216250563,0.0015252457122883892,0.030390132533267663,0.2840857054926329,0.3670629173123179
cc_align,gov,bible,gu,2.830105209022685,0.001071106845970939,0.019588568770428756,0.396176864072711,0.5416779318018322
cc_align,gov,bible,hi,2.3477515028347757,0.0018330720201614019,0.011211399157058955,0.7702979958198604,0.8099997267766086
cc_align,gov,bible,si,1.038668814266491,0.005299717409487074,0.0156889063405053,0.4422535065982137,0.5258319892444414
cc_align,gov,bible,ta,1.648946628898647,0.002907649079909638,0.01495353986276702,0.7566925878182031,0.9170950002921848
cc_align,gov,gov,ka,21.23076352080637,0.0004136749961069952,0.01961725608385106,3.3360268882567548,4.064288616737114
cc_align,gov,gov,gu,26.647076060209052,0.00013025999403072354,0.015329344791531519,2.734808414615579,3.1760886064945315
cc_align,gov,gov,hi,26.940064798440567,0.0002341639685560875,0.007021329068064795,3.6311310040340627,4.003040570393738
cc_align,gov,gov,si,33.573169120264744,0.00023244610743599093,0.008767563329906131,5.345067924642132,5.8234471454593315
cc_align,gov,gov,ta,28.27576748893851,0.0002979485615620899,0.008074898642196638,4.10572743162007,4.555271615232368
cc_align,bible,flores,ka,1.2307320627521516,0.0021505651743620987,0.02407091291842315,0.3806130863125124,0.5286617093581952
cc_align,bible,flores,gu,2.919884467477226,0.0018476128691957566,0.021038751390084823,0.5566769442028102,0.6049014281602758
cc_align,bible,flores,hi,2.412538992628444,0.001574015940578114,0.013994359796810223,0.31746280355683104,0.34821678734169353
cc_align,bible,flores,si,1.2577393527043967,0.0027184567715380927,0.019089023774990898,0.2908051205393935,0.30825206165550767
cc_align,bible,flores,ta,1.459824869233656,0.0031237380482150223,0.024079049364160617,0.33457234875490555,0.4495310180639911
cc_align,bible,bible,ka,16.74411751661302,0.00036006709015998174,0.022017483730730238,2.3547519877309244,2.788165131728245
cc_align,bible,bible,gu,18.450560373458295,0.00014414332777066072,0.01821948911697855,1.958874196515129,2.240021427339196
cc_align,bible,bible,hi,20.939985855873935,0.000228475472787896,0.017898694489378,2.1301038420423364,2.3846379313423753
cc_align,bible,bible,si,25.249114246677657,0.0002545956443377962,0.0173296098050102,2.971260864448654,3.458211216180746
cc_align,bible,bible,ta,19.899823563608486,0.0001856648884172504,0.019319344120746186,2.4562391255712086,2.8577558785084967
cc_align,bible,gov,ka,0.5893947986032515,0.0028831606868113266,0.01569116583369435,0.05472600292760553,0.1178142963230678
cc_align,bible,gov,gu,1.964063508286689,0.0019444800533243468,0.024521696339380512,0.4578453319832805,0.5975952495450362
cc_align,bible,gov,hi,1.6490065027487921,0.0015978311986201141,0.013562140611622956,0.16217847243597894,0.22581153521818456
cc_align,bible,gov,si,0.8365154377221166,0.0025831942413753646,0.024793326640753642,0.25635154958843714,0.3514486200915327
cc_align,bible,gov,ta,0.5548530650162563,0.005839105953387084,0.035006953642538655,0.23515891827850532,0.41935421907507714
gov,bible,flores,ka,1.3786637302252747,0.013720860518208436,0.021969369286852305,0.4201195901544837,0.5498053295693833
gov,bible,flores,gu,3.7399470645115684,0.003070305196989772,0.021192477284484354,0.6212158998183545,0.6512427050906685
gov,bible,flores,hi,2.6863270170567723,0.0020357493411571354,0.013379184890855841,0.31625875209178617,0.3361538638832565
gov,bible,flores,si,1.398315150926314,0.0005831669086115602,0.022940564385288617,0.40221424750357404,0.4031640094144153
gov,bible,flores,ta,1.4175730781764697,0.0023293878242975742,0.025376607584664257,0.2800202914729838,0.28594760290636073
gov,bible,bible,ka,16.345571076387337,0.0035843197013267717,0.021527895906534915,2.4010925069625846,2.6660676313061376
gov,bible,bible,gu,18.105689899004098,0.0007589077486122575,0.018720991226469176,1.9699104003853931,2.0759423316665915
gov,bible,bible,hi,20.58290223818114,0.0004592335239290974,0.018723431579047635,2.285359046827834,2.345674043665867
gov,bible,bible,si,24.795331572485438,0.0005586633513443199,0.01800917355829721,3.21968084352351,3.2929141901932404
gov,bible,bible,ta,18.809375177905604,0.0005213944000469767,0.020924111878824786,2.4404953644025134,2.518425472875557
gov,bible,gov,ka,1.39880290792478,0.01806382043451898,0.01341938314318254,0.3810735502478747,0.45317735591559427
gov,bible,gov,gu,6.125449208293819,-0.0062573687223568195,0.02503038605584156,1.6631227550974255,1.6631277768825283
gov,bible,gov,hi,3.386637679121266,-0.0027684214986198894,0.023424577291757977,0.6752149779122967,0.6816650769806982
gov,bible,gov,si,3.3257419260138095,-0.003931543041226083,0.030904754211200706,1.492494944510336,1.493140894319946
gov,bible,gov,ta,3.327677737648397,-0.003363032120255813,0.03503291288593621,1.4121745485730712,1.419259214116487
bible,gov,flores,ka,5.961753969374428,0.0070362195063376045,0.03238274418851117,2.1929641395422843,2.6225922349359925
bible,gov,flores,gu,10.562439773884298,0.0017323637644857863,0.02458937924544797,2.358007588630463,2.5145188397382565
bible,gov,flores,hi,10.671030312640694,0.0008987195386987563,0.012357952904601403,2.6012189811442026,2.656796562759427
bible,gov,flores,si,6.858428407674611,0.0020048460839751266,0.012373253043853444,1.8134890876576073,1.8884380865619004
bible,gov,flores,ta,5.150423764614934,0.0025287386271891222,0.015738486622026024,1.3948154058183058,1.469155557811416
bible,gov,bible,ka,1.6517697406222605,0.02345594529748379,0.02581765904304009,0.843361022398082,1.289436910985265
bible,gov,bible,gu,6.968614145704472,0.006002120396785408,0.018709343584114236,1.450125209506964,1.4868729564377252
bible,gov,bible,hi,7.15385360772564,0.006296819286113159,0.008544171631002647,2.0710792202418156,2.095922034335474
bible,gov,bible,si,5.766123905397039,0.0056575236781500685,0.013924497736295697,2.6998767274123865,2.7755610249140408
bible,gov,bible,ta,5.171770790881745,0.004252928989006546,0.012976052278011008,1.9199073808279847,1.942317721674308
bible,gov,gov,ka,18.80953872192787,0.003602373050182756,0.023619696720928698,4.198742281413362,4.734506295224194
bible,gov,gov,gu,24.97705711920368,0.0009261579947539357,0.016804901803483183,2.9957319971635856,3.17778889511924
bible,gov,gov,hi,25.745965114064887,8.896379953719473e-05,0.007915737805187837,4.163011482344635,4.263394240883449
bible,gov,gov,si,31.84151112284047,0.0007720928054289479,0.00981700706378786,6.35366055907142,6.543393520843336
bible,gov,gov,ta,26.972309947012487,0.001103371896037304,0.009002482186135509,4.598250330426507,4.736628946464276
