train set size,c0,"c1,1","c1,2",rmse,kfold rmse
1,25.999545377375796,-58.133688877364655,20.68853900268998,3.042288309509697,3.06613918270124
10,41.56159928436844,-96.11435329268829,39.14430212522956,3.97836951128598,4.009315457503807
25,45.86607667691074,-102.11590337439632,36.12580626118782,4.213180007190509,4.246815517967503
50,58.741238872088864,-157.87799949719323,101.91022918618518,2.263084089961293,2.3761866335732886
