train set,train set size,c0,"c1,1","c1,2",rmse,kfold rmse
gov,1,31.33233328660832,-71.53103521390379,54.6502558397758,8.294612521043527,8.489705315704118
gov,10,64.7229544268216,-146.15609421889746,109.05539401883374,14.033096682595565,14.37213862888361
gov,25,68.01441106347322,-151.63283611338326,114.78446062512475,15.4161471080365,15.78614019129032
gov,50,162.43117452546053,-430.4863921720472,319.6070950897504,17.182031967487852,17.874970824027216
bible,1,86.6588116866676,-242.73796339045313,181.4777743585255,7.778430035843683,7.9369310118274345
bible,10,97.08700112388068,-264.253446197592,199.37433653220657,12.34134516485348,12.574595714278525
bible,25,95.95339084889252,-256.6369456525396,194.01702463072078,14.159703792991591,14.422543069963567
