,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,27.001035581846505,28.219911406714704,0.3803566560850362,0.6858953679057136,0.5737928880531123
1,poly2,,7.9808444030764445,9.199720227944646,0.9861939648673713,0.7908540840003841,0.6628815664155892
2,poly3,,-199.38159901572695,-198.16272319085874,1.0,0.8205762217289883,0.694884664640314
3,exp,,26.849668233073842,28.06854405794204,0.3988343076203392,0.8229885833755057,0.7143768166090543
4,log,,27.126181907855745,28.345057732723944,0.3646517168279877,0.570536695464132,0.47548357662075835
5,power,,26.937097609821517,28.155973434689717,0.388229956269849,0.4489613353862718,0.44193700840286365
6,mult,,26.997769835153413,28.216645660021612,0.38076124358288144,0.7183964845017607,0.6237709971041234
7,hybrid_mult,,25.710933976928256,26.929809801796456,0.5212762351211473,0.9619263522413338,0.977581725416658
8,am,,27.371111850206674,28.589987675074873,0.3327536524126051,0.42288014094545595,0.41281150821403945
9,gm,,27.361608136847412,28.58048396171561,0.33402071146003043,0.4076444014367404,0.3793493425566168
10,hm,,27.37808034136112,28.59695616622932,0.33182306402934414,0.3511839636140706,0.28383943050882976
