model,multi factor,multi variable,overall linear,sliced linear
linear,299.33%,100.46%,100.00%,100.00%
poly2,298.65%,100.23%,99.77%,99.77%
poly3,298.66%,100.23%,99.77%,99.77%
exp,299.32%,100.45%,100.00%,100.00%
log,299.36%,100.47%,100.01%,100.01%
power,299.36%,100.46%,100.01%,100.01%
hmult,299.41%,100.48%,100.03%,100.03%
