train set 1,train set 2,test set,language to,c0,c1,c2,rmse,loo rmse
cc_align,gov,flores,ka,8.976243116268156,0.07714788794555737,0.0,3.794413610773291,3.977597113666472
cc_align,gov,flores,gu,14.247096108312713,0.07256115669847561,0.0,4.187977588220064,4.356863338854376
cc_align,gov,flores,hi,12.014577547613602,0.11185499040267476,0.0,3.535300891185993,3.6126669582190125
cc_align,gov,flores,si,8.259943836908505,0.07833468862100672,0.0,2.4422502855857404,2.4626972765284925
cc_align,gov,flores,ta,5.961831128743539,0.09822998593015371,0.0,2.6116989270282973,2.6641644490212504
cc_align,gov,bible,ka,1.090887915807838,0.011877671565635331,0.0,0.5346365511084996,0.5648301764779187
cc_align,gov,bible,gu,3.1892839558012396,0.019079550757726722,0.0,0.8244833932866361,0.8637503993484926
cc_align,gov,bible,hi,2.2763224875689128,0.027349437594381677,0.0,0.9718733052058753,0.984026047222022
cc_align,gov,bible,si,0.7349982576850502,0.033690489161448976,0.0,0.6190941331562174,0.64517394297674
cc_align,gov,bible,ta,1.418911221323644,0.03377595125509731,0.0,0.9915096087669286,1.001917727520947
cc_align,gov,gov,ka,24.15908145373552,0.10490658649332023,0.0,6.354425701292389,6.6266738120333954
cc_align,gov,gov,gu,29.714722940278758,0.07880165493674803,0.0,5.645951427854309,5.93151405313516
cc_align,gov,gov,hi,27.3724234569543,0.11137033565479809,0.0,5.256633267068394,5.283067864068239
cc_align,gov,gov,si,34.19842792801347,0.1774160126826771,0.0,8.252824145505956,8.345451364238878
cc_align,gov,gov,ta,28.728411330452392,0.14069175031702907,0.0,6.266405379747548,6.3164410812626315
cc_align,bible,flores,ka,1.3646144374518443,0.015267670564626577,0.0,0.5784110166736439,0.5950373959919512
cc_align,bible,flores,gu,3.309225425141793,0.02704544307784924,0.0,1.0130709104840283,1.0883327029972656
cc_align,bible,flores,hi,2.6109071347555943,0.01536723651154876,0.0,0.5091599053934677,0.5346965104163637
cc_align,bible,flores,si,1.3822010948081005,0.014348104533058528,0.0,0.4366175304343143,0.46484259371594727
cc_align,bible,flores,ta,1.6093124105769985,0.02256892060765405,0.0,0.625253812598249,0.6692064225641695
cc_align,bible,bible,ka,19.526894124381162,0.08832084867860483,0.0,5.490601720955181,5.848129291271134
