train set 1,train set 1 size,train set 1 jsd,train set 2,train set 2 size,train set 2 jsd,test set,language from,language to,geographic,genetic,syntactic,phonological,inventory,featural,sp-BLEU
cc_align,25,0.5461714514,gov,1,0.533194274,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,2.6
cc_align,25,0.430604198,gov,1,0.2151348168,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,24.3
cc_align,25,0.3777669327,gov,1,0.3830502287,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,9.3
cc_align,25,0.4580620436,gov,1,0.5297566363,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,1.4
cc_align,25,0.4183255531,gov,1,0.1941324151,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,21.6
cc_align,25,0.4334583706,gov,1,0.4495009186,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,6.3
cc_align,25,0.5488759703,gov,1,0.6044458611,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,0.7
cc_align,25,0.3770364696,gov,1,0.1709200509,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,26.0
cc_align,25,0.3905099289,gov,1,0.4427872698,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,4.4
cc_align,25,0.4691599767,gov,1,0.5974305094,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,0.8
cc_align,25,0.4172693543,gov,1,0.1709200509,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,22.4
cc_align,25,0.4680419004,gov,10,0.3383509698,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,13.1
cc_align,25,0.5888050214,gov,10,0.5164396023,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,1.7
cc_align,25,0.4807672986,gov,10,0.1463126272,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,30.8
cc_align,25,0.3728638479,gov,10,0.3389213611,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,18.7
cc_align,25,0.5461714514,gov,10,0.5207610711,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,3.9
cc_align,25,0.430604198,gov,10,0.1740470334,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,34.8
cc_align,25,0.3777669327,gov,10,0.3404868853,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,16.2
cc_align,25,0.4580620436,gov,10,0.520941588,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,3.6
cc_align,25,0.4183255531,gov,10,0.1471842026,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,32.7
cc_align,25,0.4334583706,gov,10,0.4086775824,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,11.1
cc_align,25,0.5488759703,gov,10,0.5893716743,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,1.7
cc_align,25,0.3770364696,gov,10,0.1047547461,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,42.2
cc_align,25,0.3905099289,gov,10,0.4017170656,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,9.1
cc_align,25,0.4691599767,gov,10,0.5862679524,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,2.6
cc_align,25,0.4172693543,gov,10,0.1047547461,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,34.8
cc_align,25,0.4680419004,gov,25,0.3343570052,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,15.3
cc_align,25,0.5888050214,gov,25,0.5157717627,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,2.0
cc_align,25,0.4807672986,gov,25,0.1431556172,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,34.2
cc_align,25,0.3728638479,gov,25,0.3335072663,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,20.4
cc_align,25,0.5461714514,gov,25,0.5183596628,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,4.7
cc_align,25,0.430604198,gov,25,0.1699216564,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,38.3
cc_align,25,0.3777669327,gov,25,0.3360772729,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,17.9
cc_align,25,0.4580620436,gov,25,0.5194551817,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,3.9
cc_align,25,0.4183255531,gov,25,0.1423219382,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,35.5
cc_align,25,0.4334583706,gov,25,0.4015966033,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,12.5
cc_align,25,0.5488759703,gov,25,0.586522217,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,2.0
cc_align,25,0.3770364696,gov,25,0.09733325817,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,46.7
cc_align,25,0.3905099289,gov,25,0.3965274658,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,10.5
cc_align,25,0.4691599767,gov,25,0.5831242241,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,3.2
cc_align,25,0.4172693543,gov,25,0.09733325817,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,38.5
cc_align,25,0.3777669327,gov,50,0.3349295165,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,20.2
cc_align,25,0.4580620436,gov,50,0.5193833641,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,3.9
cc_align,25,0.4183255531,gov,50,0.1423672441,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,37.1
cc_align,25,0.4334583706,gov,50,0.3989119558,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,13.7
cc_align,25,0.5488759703,gov,50,0.5858465013,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,2.5
cc_align,25,0.3770364696,gov,50,0.09518148614,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,50.1
cc_align,25,0.3905099289,gov,50,0.3933524284,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,12.9
cc_align,25,0.4691599767,gov,50,0.5825626895,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,3.5
cc_align,25,0.4172693543,gov,50,0.09518148614,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,41.1
cc_align,100,0.38321367,gov,1,0.3759167361,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,7.2
cc_align,100,0.5519190464,gov,1,0.531126983,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,0.9
cc_align,100,0.4166810068,gov,1,0.1938368776,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,20.2
cc_align,100,0.370302209,gov,1,0.3801471754,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,11.2
cc_align,100,0.5463004259,gov,1,0.533194274,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,2.8
cc_align,100,0.4291804164,gov,1,0.2151348168,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,24.9
cc_align,100,0.3514577685,gov,1,0.3830502287,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,10.7
cc_align,100,0.4803553839,gov,1,0.5297566363,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,1.7
cc_align,100,0.3916207028,gov,1,0.1941324151,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,23.3
cc_align,100,0.3777435012,gov,1,0.4495009186,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,7.3
cc_align,100,0.5332205864,gov,1,0.6044458611,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,1.0
cc_align,100,0.3321494652,gov,1,0.1709200509,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,27.5
cc_align,100,0.3391480635,gov,1,0.4427872698,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,5.7
cc_align,100,0.4753253314,gov,1,0.5974305094,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,1.0
cc_align,100,0.3615441627,gov,1,0.1709200509,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,24.1
cc_align,100,0.38321367,gov,10,0.3383509698,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,13.9
cc_align,100,0.5519190464,gov,10,0.5164396023,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,1.8
cc_align,100,0.4166810068,gov,10,0.1463126272,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,31.1
cc_align,100,0.370302209,gov,10,0.3389213611,flores,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,19.8
cc_align,100,0.5463004259,gov,10,0.5207610711,bible,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,4.5
cc_align,100,0.4291804164,gov,10,0.1740470334,gov,en,gu,0.3,0.9,0.68,0.5687,0.4753,0.6,35.3
cc_align,100,0.3514577685,gov,10,0.3404868853,flores,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,17.7
cc_align,100,0.4803553839,gov,10,0.520941588,bible,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,3.9
cc_align,100,0.3916207028,gov,10,0.1471842026,gov,en,hi,0.4,0.9,0.59,0.3433,0.4684,0.5,33.3
cc_align,100,0.3777435012,gov,10,0.4086775824,flores,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,12.8
cc_align,100,0.5332205864,gov,10,0.5893716743,bible,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,2.7
cc_align,100,0.3321494652,gov,10,0.1047547461,gov,en,si,0.4,0.9,0.78,0.4121,0.4991,0.6,42.8
cc_align,100,0.3391480635,gov,10,0.4017170656,flores,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,10.8
cc_align,100,0.4753253314,gov,10,0.5862679524,bible,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,3.3
cc_align,100,0.3615441627,gov,10,0.1047547461,gov,en,ta,0.4,1.0,0.71,0.5687,0.5014,0.6,35.7
cc_align,100,0.38321367,gov,25,0.3343570052,flores,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,16.2
cc_align,100,0.5519190464,gov,25,0.5157717627,bible,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,2.2
cc_align,100,0.4166810068,gov,25,0.1431556172,gov,en,ka,0.4,1.0,0.64,0.3498,0.4738,0.5,34.5
