train set 1,train set 1 size,train set 1 jsd,train set 2,train set 2 size,train set 2 jsd,language from,language to,test set,sp-BLEU,geographic,genetic,syntactic,phonological,inventory,featural
,0,,gov,50,0.09518148614,en,si,gov,49.5,0.4,0.9,0.78,0.4121,0.4991,0.6
,0,,gov,50,0.3933524284,en,ta,flores,11.3,0.4,1.0,0.71,0.5687,0.5014,0.6
,0,,gov,50,0.5825626895,en,ta,bible,1.6,0.4,1.0,0.71,0.5687,0.5014,0.6
,0,,gov,50,0.09518148614,en,ta,gov,40.8,0.4,1.0,0.71,0.5687,0.5014,0.6
cc_align,25,0.4680419004,gov,1,0.3759167361,en,ka,flores,5.4,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.5888050214,gov,1,0.531126983,en,ka,bible,0.6,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.4807672986,gov,1,0.1938368776,en,ka,gov,17.6,0.4,1.0,0.64,0.3498,0.4738,0.5
cc_align,25,0.3728638479,gov,1,0.3801471754,en,gu,flores,10.4,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.5461714514,gov,1,0.533194274,en,gu,bible,2.6,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.430604198,gov,1,0.2151348168,en,gu,gov,24.3,0.3,0.9,0.68,0.5687,0.4753,0.6
cc_align,25,0.3777669327,gov,1,0.3830502287,en,hi,flores,9.3,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4580620436,gov,1,0.5297566363,en,hi,bible,1.4,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4183255531,gov,1,0.1941324151,en,hi,gov,21.6,0.4,0.9,0.59,0.3433,0.4684,0.5
cc_align,25,0.4334583706,gov,1,0.4495009186,en,si,flores,6.3,0.4,0.9,0.78,0.4121,0.4991,0.6
cc_align,25,0.5488759703,gov,1,0.6044458611,en,si,bible,0.7,0.4,0.9,0.78,0.4121,0.4991,0.6
